#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,261.2,178.8,160.7,188.2,194.8,240.5,269.6,288.6,303.0,320.2,344.0,374.2,431.3,1753.1,7943.3,29872.4,30000,1683669569376,1683669579512
read,262.9,202.6,148.8,188.7,195.4,241.7,269.8,288.0,301.5,317.7,340.0,370.7,431.7,2484.5,9349.0,30027.1,30005,1683669581021,1683669591138
read,275.8,224.0,148.8,190.6,198.9,249.4,279.9,298.9,314.0,332.4,356.7,391.7,538.7,2845.6,9476.0,30124.2,30010,1683669592646,1683669602751
read,282.8,351.7,160.7,190.2,197.6,243.0,271.9,291.9,308.2,328.2,353.9,391.0,780.4,5542.4,14907.0,29991.0,30015,1683669604258,1683669614364
read,285.5,368.4,160.7,190.0,197.3,246.3,275.3,294.8,310.3,328.8,353.3,389.1,725.2,5537.5,14391.1,30019.4,30020,1683669615875,1683669625975
read,286.1,362.2,160.7,191.2,199.1,247.7,275.8,294.7,310.0,328.2,352.5,388.6,661.2,5221,14813.6,30027.8,30025,1683669627485,1683669637593
read,280.5,537.5,160.7,190.4,197.6,241.0,269.4,288.6,303.5,321.5,345.7,381.4,615.8,6445.3,15242.6,29968.7,30030,1683669639101,1683669649209
read,276.3,508.8,160.7,190.3,197.5,241.8,268.7,286.9,301.1,319.1,343.1,375.2,492.4,5512.5,13927.7,30062.1,30035,1683669650716,1683669660823
read,285.9,521.1,148.8,190.5,197.9,245.1,274.4,294.2,310.0,329.2,354.6,391.2,700.7,5974.8,12368.8,30004.0,30040,1683669662329,1683669672438
read,304.1,652.0,148.8,189.2,197.0,248.7,281.0,301.1,316.3,335.9,361.3,398.4,1133.2,6614.9,25402.0,29961.2,30045,1683669673948,1683669684057
read,277.0,298.3,160.7,191.9,199.9,247.4,276.9,296.1,311.2,329.1,352.7,385.2,462.8,4714.9,11423.7,30021.9,30050,1683669685566,1683669695675
read,271.1,469.8,160.7,188.7,195.0,239.7,268.4,286.9,300.9,318.3,342.1,374.3,459.4,4719.0,8788.8,30039.8,30055,1683669697182,1683669707285
read,272.1,457.2,148.8,190.2,197.3,243.5,272.2,291.1,305.7,323.2,346.9,381.0,462.0,4098.4,9910.2,29964.4,30060,1683669708793,1683669718905
read,269.4,291.9,148.8,188.9,195.0,237.7,266.7,285.6,300.1,319.0,344.4,379.0,458.6,4613.3,11758.7,30035.6,30065,1683669720415,1683669730518
read,269.0,278.5,160.7,189.5,196.1,238.1,265.0,282.8,296.5,314.9,338.9,372.0,459.3,4517.5,12010.3,30035.7,30070,1683669732027,1683669742132
read,266.2,419.0,160.7,190.0,197.4,244.6,272.3,290.7,305.2,322.8,347.2,380.9,438.8,2127.1,8080.0,30060.0,30075,1683669743640,1683669753749
read,265.4,199.0,160.7,190.5,197.9,244.1,271.8,290.3,304.3,320.7,344.2,376.5,435.5,2258.1,8551.2,30038.6,30080,1683669755256,1683669765362
