#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1018,1279.5,148.8,243.9,278.7,503.8,1075,1152.9,1213,1307.6,3011.9,3280.1,3755.9,18023.3,30627.6,29744.6,30000
read,902.4,1068.5,148.8,245.7,280.1,517.7,1030.7,1113.2,1179.2,1266.1,2283,2961,3427.6,13182.3,28440.6,35007.2,35000
read,861.3,1145,160.7,243.6,276.6,503.7,948.3,1091.3,1162.3,1253.3,1460.2,2778.9,3521.7,13379.9,35658.9,39725.2,40000
read,834,1297,148.8,243.3,275.5,495,689.5,1034.8,1104.1,1201.6,1368.7,2629.9,4894.2,20598.3,37759.2,45025,45000
read,1660.3,3405.5,160.7,434.6,473.1,638.3,946.9,1061.7,1135,1293.2,4654.1,5447.5,9488.9,36885.3,47434.4,46200.1,50000
read,1570.9,3299.2,173.5,397.6,429.7,610.5,870.5,985.1,1063.3,1339.5,4625.4,5016,9431.3,35717.3,40845.6,49543.8,55000
read,1700.1,3471.2,173.5,453,486.2,635.3,972.6,1077.1,1147.9,1746.1,4680.9,5343.91,1609,36135.6,44584.5,46293.4,60000
read,1684.5,3489.7,160.7,443.4,475.6,632.8,951.1,1058.6,1129,1413.6,4667,5214.41,2908.4,36661.9,48368.5,46967,65000
read,1614.3,3380.3,187.4,423.4,452.1,609.2,908.4,1008.8,1073.6,1185.8,4637.9,5490.6,9462.7,36470.4,43300.9,48412,70000
read,1691,3426.9,173.5,459.9,489.4,635.6,977.9,1074.1,1140.7,1321.7,4681.1,8146.3,9475.7,36381.6,48297.2,46010.4,75000
read,1605.3,3302.7,202.4,422.4,452,622.5,913.1,1012,1089,4087.6,4629.7,5023.1,9439.6,37085.7,48470.2,48652.6,80000
read,1686.3,3502.8,202.4,436.9,468.7,639.3,937.7,1053.3,1129.4,1365.8,4666.1,5354.01,2242.5,36605.9,44199.9,46955.6,85000
read,1728.4,3499.2,173.5,463.9,495.9,643.2,999.1,1099,1169.3,4387,4690,5364.01,2119.6,36906.6,50095.6,45552.4,90000
read,1624.8,3383.8,173.5,418.6,450.2,624.4,903.5,1014.1,1087.9,1256.2,4638.6,5120.9,9474.8,36563,47281.8,48291.4,95000
read,1587.6,3362.9,173.5,413.6,443.6,605.6,882.4,983.7,1056.2,1176.6,4611.3,5298.4,9460,36747.1,48258.5,49296.8,100000
read,1679.1,3418.7,173.5,445.3,478.2,638.3,952.9,1065.2,1138.2,1356.2,4667.8,5393.1,9491.3,36663.2,43680.3,46591,105000
read,1631.6,3344.6,187.4,437.5,465.2,618.4,933.8,1039,1096.5,1253.7,4651.7,5373.3,9458,36656.9,44073.5,47604.8,110000
