#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,441.2,344.8,148.8,212.2,233.1,424.7,494.8,534,564.9,603.7,649.9,726,878.7,2489.8,12268.4,30119.8,30000
read,452,250.9,160.7,211.8,233.3,437.5,513.2,551.7,584.4,621.9,674.2,756.2,941.4,2082,8468,34867.2,35000
read,462,320.2,160.7,213.9,234.4,433.5,518.1,564.9,600.4,640.5,703.4,800.7,1009.9,3891.3,13996.5,39828.8,40000
read,445.9,287.1,148.8,208.5,227.7,422.4,507.9,552,587.4,627.6,683.3,774.7,975.6,1797,11155.3,45073.2,45000
read,423.9,245.4,148.8,205.8,222.8,395.9,480.4,524.6,557.7,599.6,650.2,737.1,919.5,2906.1,8578.7,49850.1,50000
read,414.6,275.5,148.8,201.3,217.2,383.6,469.6,513.9,546.1,588.1,640.6,734.8,920.9,1909.2,9080,54935.5,55000
read,433.1,289.1,148.8,206.7,224.9,394.8,486.2,534.5,570.5,614.1,672,768.6,993.8,3719.4,9092,59993.6,60000
read,414.9,235.7,148.8,204.3,221.1,378.5,467.3,514.1,548.5,591.9,647.2,738.6,943.3,1713.3,7944.8,64960.1,65000
read,422.2,265.8,148.8,209.2,227.3,385.5,471.6,518.7,551.8,592.9,646.3,736.6,973.7,1993.7,10663.3,69998.4,70000
read,413.2,227.8,160.7,208.5,226.4,376.6,461.1,507.2,541.5,582.3,634.5,724.2,938.7,1783,8126.2,74861.2,75000
read,454.3,244,148.8,222.8,245.2,414.2,500.9,549.2,587.1,633.9,701.7,810.3,1089.2,1741.2,8061,80074.2,80000
read,454.3,240.4,148.8,230.7,256,420.8,501,546.9,582.9,627.4,687.3,785.1,988.6,1674,8709.9,84962.8,85000
read,708.5,393.4,160.7,400.6,442.4,611.9,798.5,908,965.6,1018.5,1074,1149.1,1295.3,3196.9,17387.1,88825.2,90000
read,712.3,395.3,160.7,363.4,416.4,623.2,797.3,892.6,951.5,1010.1,1078.8,1180.2,1616.2,3780.2,15206.3,89773.3,95000
read,701.1,346.8,173.5,412.7,448.9,594.9,789.2,906.2,963.9,1013.9,1066.2,1133.9,1261.5,2425.4,14412.2,92380.6,100000
read,707,577.3,160.7,411.6,448.2,601.2,779.5,904,967.6,1028.5,1086,1159.1,1277.1,3051.5,15896.2,91931.6,105000
read,682.7,338.1,173.5,385.9,427.6,586.5,773.9,876.7,931.9,982.2,1034.5,1096.6,1258,2773.9,12879.3,95296.8,110000
