#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,393.8,206.4,160.7,205.0,222.0,357.4,436.0,489.3,525.7,565.6,609.7,666.1,773.7,2163.9,5912.2,30220.2,30000
read,390.2,231.3,160.7,202.6,218.5,349.2,424.0,477.0,516.8,562.4,612.6,673.0,795.9,3097.9,8678.2,35033.0,35000
read,396.9,211.9,148.8,205.6,222.3,364.1,433.3,482.5,522.0,569.5,621.9,686.6,807.3,1321.2,7678.6,40111.2,40000
read,407.7,209.7,160.7,208.8,226.6,379.7,450.7,495.7,531.7,577.2,633.0,701.3,827.3,1462.7,7258.7,44994.3,45000
read,395.1,217.5,148.8,204.0,220.0,363.9,431.2,475.0,511.2,557.2,617.5,691.4,820.0,1707.9,8804.0,49883.2,50000
read,394.3,270.5,148.8,200.9,216.4,361.7,431.0,472.8,507.3,549.6,607.1,681.5,806.3,3878.3,10555.0,54845.0,55000
read,393.4,256.1,148.8,200.5,215.8,363.3,433.8,475.4,508.2,550.2,605.9,681.4,807.7,2587.0,9763.3,59793.4,60000
read,388.6,423.1,148.8,200.3,215.8,360.8,433.2,475.2,506.3,544.5,594.7,667.7,794.8,1256.2,9872.2,65023.8,65000
read,384.7,205.1,148.8,200.2,215.4,356.7,426.7,468.3,500.6,538.9,588.6,669.5,817.3,1176.0,8504.5,69900.1,70000
read,378.9,198.0,148.8,199.9,215.3,354.2,424.0,463.3,492.9,528.5,574.9,644.1,774.6,1111.2,8208.7,75008.0,75000
read,384.4,208.1,148.8,203.1,219.2,358.9,428.9,467.3,496.4,531.3,577.7,651.6,798.1,1240.8,6325.2,79949.4,80000
read,397.1,217.8,148.8,206.2,224.0,371.4,439.9,479.2,508.4,544.6,592.0,669.9,860.8,1283.2,9452.6,85048.4,85000
read,361.6,196.2,148.8,199.6,214.7,339.9,398.8,432.9,459.1,490.9,533.2,597.1,728.5,948.6,6829.4,90024.2,90000
read,376.1,192.4,148.8,206.8,224.3,355.8,413.0,448.0,473.2,505.4,547.0,617.0,744.4,996.0,8615.6,95120.4,95000
read,602.2,309.6,160.7,332.0,374.2,523.5,711.1,779.0,818.0,856.2,900.2,953.9,1057.9,2363.3,11768.3,98738.3,100000
read,598.1,301.0,160.7,327.4,370.9,526.6,678.3,762.7,809.5,853.1,901.1,961.2,1080.2,1921.6,11874.7,102666.9,105000
read,641.6,333.0,173.5,369.8,409.4,548.7,710.2,818.3,879.9,928.6,978.6,1038.2,1148.3,2647.7,13208.9,100327.6,110000
