#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,453.2,263.8,160.7,227.0,250.4,427.3,499.3,543.3,578.1,620.1,673.7,749.9,917.3,3063.6,10242.6,30054.8,30000
read,455.2,272.2,160.7,224.9,247.5,434.9,507.1,549.7,583.5,623.1,672.8,743.7,904.4,3615.0,9876.2,34977.0,35000
read,458.2,266.4,160.7,224.3,246.6,436.1,511.9,556.3,589.8,631.7,684.3,764.7,931.7,2552.5,10177.0,40000.4,40000
read,444.2,272.8,160.7,221.2,241.6,420.2,495.1,539.4,574.0,616.0,670.7,750.6,896.5,2051.8,11541.1,44718.6,45000
read,438.2,259.2,160.7,215.7,234.3,413.3,494.0,538.7,573.1,615.0,669.5,747.2,889.1,2605.4,10097.1,50053.0,50000
read,430.7,294.0,160.7,215.1,233.3,402.4,483.6,529.7,564.1,605.1,658.9,737.2,870.8,1613.1,10498.2,55011.0,55000
read,430.5,249.7,148.8,214.9,232.8,397.7,480.3,527.3,562.6,606.1,664.2,755.1,930.5,1612.2,9311.0,60076.0,60000
read,419.9,245.7,160.7,216.7,234.2,388.8,465.3,509.0,543.4,584.9,638.2,722.8,876.6,1922.9,8779.8,64742.8,65000
read,427.0,226.4,160.7,219.7,238.4,396.6,477.0,523.2,556.7,596.2,648.6,731.0,886.2,1525.0,8280.5,69921.6,70000
read,425.6,239.6,160.7,221.3,241.1,396.9,473.4,516.8,547.8,587.2,637.7,719.2,875.7,1600.7,9731.5,74867.0,75000
read,417.0,218.9,148.8,221.2,240.7,388.0,460.1,501.5,532.9,571.2,622.9,704.3,873.5,1644.3,8358.0,79897.8,80000
read,423.5,241.2,148.8,228.7,250.7,398.0,468.3,508.2,538.7,574.9,621.0,690.1,825.3,1242.9,10331.2,85045.8,85000
read,453.0,231.8,160.7,246.3,273.4,427.9,500.4,542.6,574.3,611.2,657.3,726.7,866.5,1184.8,9512.2,89704.4,90000
read,737.3,370.5,160.7,420.4,457.3,638.6,848.6,940.0,992.4,1048.2,1110.2,1187.9,1328.9,3673,13132.0,87814.6,95000
read,668.9,313.9,173.5,379.8,412.2,613.1,799.5,854.2,888.4,923.9,967.3,1021.3,1148.5,2715.3,10899.3,95392.2,100000
read,676.2,358.0,173.5,385.3,417.5,599.3,799.9,861.6,899.9,938.7,991.1,1068.2,1211.3,2784.4,12720.7,95711.4,105000
read,719.2,363.1,187.4,418.2,450.5,619.2,843.0,922.4,969.3,1017.5,1078.2,1155.7,1275.4,3307.7,12730.8,90963.6,110000
