#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,451.3,333.3,148.8,210.5,231.5,435.9,503.2,542.2,573.3,611,659.2,733,929.2,4028.5,12541.3,29914.2,30000
read,436.7,257.3,148.8,211.2,230.5,409.5,485,529.8,564.7,608.8,666.9,758.3,940.5,1788.5,10067.2,34935.2,35000
read,448.7,298.6,148.8,212.2,231.9,422.9,503.2,547.9,583.5,627.3,684.1,778.4,974.9,1916.3,13098.9,39873.1,40000
read,436.9,276.2,160.7,208.9,227.8,413.2,493.3,535.2,567.5,608.7,664.2,752,939.4,2194.6,12249.6,44963.4,45000
read,427.2,279.6,148.8,205.5,222.8,406.8,489.9,531.3,561.4,599.3,648.3,730.1,910.1,1548.9,10244.7,50128.1,50000
read,411,256.3,148.8,203.5,219.5,377.8,460.5,505.5,540.4,583.6,639.6,733.4,919.8,1489.6,10071.2,54872.6,55000
read,411.6,263.2,148.8,201,217.1,378.5,464.9,509.1,542.6,584.9,637.8,729.4,921.8,1786.9,8469.7,59878.2,60000
read,413.9,257.7,148.8,202.1,218.9,380.2,467.7,513.6,546.4,587.5,638.5,729.5,922.6,1981,9673.7,65153.6,65000
read,414.5,222.8,148.8,202.5,220.4,385.3,471,516,547,587,636.5,724.1,912.4,1475.4,8087,69981.6,70000
read,398,198.3,148.8,201.7,218,365.3,442.7,488.2,521.7,562.8,617.4,706.3,888.5,1367.6,6511.7,75217.8,75000
read,417.4,237.7,148.8,207.2,226.7,390.2,476.1,518.7,547.6,583.9,629.1,704,869.8,1478.6,7836.7,80038.5,80000
read,417.1,233.3,148.8,210.3,230.4,387,466.4,508.7,540,579.4,631.4,718.8,898.3,1264.2,9708.8,84897.2,85000
read,437.7,250.9,148.8,216.1,240.3,404,481.5,526.9,561.3,605.2,666,767.8,968.3,1350.6,11273.7,89852.6,90000
read,624.7,328.1,160.7,317.4,377.6,542.4,647.9,795,877.2,938.1,994.8,1064.2,1172.6,1797.8,12158.6,93743.4,95000
read,707.8,346.9,160.7,428.4,465.2,593.9,741.3,922.6,995.4,1049.5,1096.9,1160,1266.8,3184.7,12953.1,91711.4,100000
read,681.8,369.5,160.7,393.4,431.4,579.4,758.8,875.2,939.4,993.1,1047.2,1104.2,1210.9,3914.7,14531.8,94778.6,105000
read,700.3,379.2,160.7,444.2,475,577,693.2,948.4,1001.4,1043.6,1080.6,1135.9,1235,2581.9,15475.5,93101.6,110000
