#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,480.6,292.8,160.7,228.1,252.2,454.4,535.2,581.7,617.3,660.6,719,815.2,1002.4,3441.9,10532,29918,30000
read,474.4,309,160.7,227.1,250,447.9,531.2,577.8,612.5,654.5,712.7,804.1,985,3648.2,12638.6,34897.8,35000
read,480.7,301.3,160.7,226,248.6,455.7,541,588,623.9,668,729.3,827.3,995.2,3590.3,11523.3,39903.4,40000
read,470.8,274.6,160.7,223.4,244.7,443.3,534.6,583.7,620,664.3,725.2,821.7,983.8,2340.6,9655.6,44719.8,45000
read,458.9,259.8,160.7,216.2,235.2,428.3,523.2,574.2,611.2,655.9,719,817.8,995.7,1777,8540.1,49991.8,50000
read,435.1,252.8,160.7,213,231.4,399.9,487.6,536.5,573.3,618.5,679,778,942.7,2096.8,8998.8,55105.6,55000
read,431.3,240.3,160.7,212.2,230.4,393.4,482.5,533.7,571.6,617.5,678.1,779.4,946.7,1940.8,8178.5,59947.4,60000
read,436.5,265.5,160.7,215.2,234.5,400.3,487.4,537.4,574.5,618.7,676.5,769.3,954.4,1766.4,11251.8,65163.4,65000
read,434.1,267.1,160.7,215.8,234.8,396,482.6,532.4,569.7,614.8,674.6,770.3,947.4,1710.6,11122.2,69668.6,70000
read,428.4,265,160.7,214,233.1,390.1,471.3,522.4,559.7,604.5,665.4,762.2,940,1702.2,8613.4,74890,75000
read,433.1,256.8,160.7,219.3,240.5,401.2,480.8,527.7,563,606.2,661.7,745,911.7,1365.8,10170.2,79743.5,80000
read,422.5,214.8,160.7,219.8,240.3,390.1,465.1,510.8,546.4,588.6,643.8,728.9,883.9,1176.6,8341,84840.8,85000
read,530.1,281.8,160.7,251.4,287.8,483.3,579.2,641.5,694.7,757.4,835.5,946.4,1156.6,1714.2,10144.8,89990.6,90000
read,480.9,241,160.7,248.9,281.1,442.7,525.7,578.6,616.6,661.3,721.6,809.6,1012.6,1380.4,8567.5,95054.6,95000
read,689.1,339.3,173.5,395.1,426.6,597.5,822.2,886.5,925.1,969.1,1018.1,1091.3,1223,2134.7,14836.6,93274.4,100000
read,695.9,396.5,173.5,396.8,434.6,603.5,774.7,872.3,935.2,1001.5,1065.8,1139.6,1253.6,3074.4,17343.2,93026.2,105000
read,708,366.2,173.5,423,452.1,586.4,859.2,934.3,973.1,1010.5,1055.4,1105,1211.7,3492.8,14494.6,92358,110000
