#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1422.0,1876.9,160.7,278.4,321.3,592.4,781.3,1970.6,3560.6,3745.3,3891.5,4031.7,5757.3,24751.8,34125.2,30002.4,30000
read,1327.0,1821.4,173.5,281.3,321.4,578.0,734.4,896.7,3322.8,3708.7,3901.3,4168.0,5716.9,24335.9,35042.5,34900.0,35000
read,1208.3,1742.5,160.7,283.6,324.9,568.7,734.4,859.7,998.1,3589.5,3855.6,4069.6,5449.1,24342.5,33712.5,40126.2,40000
read,1237.6,1773.8,173.5,309.1,358.3,606.2,785.0,931.9,1078.6,3513.7,3936.2,4596.6,5863.7,24370.8,37722.0,44896.8,45000
read,1565.3,2323.1,173.5,449.1,489.1,695.5,1006.0,1139.4,1252.6,4180.8,4753.8,5388.2,7983.3,31086.8,38976.6,44572.2,50000
read,1541.7,2193.7,202.4,449.7,489.2,689.6,1006.5,1140.6,1254.3,4262.3,4721.3,5166.1,7930.8,29858,37762.1,45080.6,55000
read,1594.0,2271.1,202.4,467.2,504.8,720.4,1039.7,1174.5,1309.0,4339.4,4766.7,5295.9,8097.5,30501.6,37950.0,43855.0,60000
read,1515.8,2205.7,202.4,439.9,473.9,687.3,985.1,1091.2,1193.8,4137.4,4719.9,5199.7,7913.1,30007.9,40364.2,45999.0,65000
read,1518.6,2279.7,187.4,438.1,472.1,687.9,978.0,1081.5,1179.5,4078.5,4737.2,5231.2,7947.3,30991.3,40774.8,46070.6,70000
read,1520.5,2178.1,187.4,432.2,469.6,703.6,980.4,1092.2,1209.8,4234.3,4728.7,5136.8,7851.8,30077.8,37449.0,45767.6,75000
read,1565.8,2246.5,187.4,461.5,498.3,688.8,1039.7,1156.8,1264.6,4258.4,4755.8,5247.7,8011.8,30394.9,40385.5,44561.4,80000
read,1523.0,2167.9,202.4,445.2,481.3,691.0,999.4,1113.2,1223.9,4158.3,4722.9,5159.8,7930.2,30405.6,37796.6,45467.8,85000
read,1482.3,2081.2,187.4,438,472.4,673.8,977.6,1085.3,1178.6,4104.0,4694.4,5106.9,7808.9,29172.9,37691.0,46472.8,90000
read,1497.7,2219.6,202.4,425.1,458.8,694.5,947.1,1061.6,1182.7,3981.3,4720.7,5213.8,8007,30664.8,39234.2,46591.2,95000
read,1511.9,2169.9,187.4,439.4,474.9,684.4,983.3,1098.0,1211.4,4124.2,4713.9,5157.1,7902.7,29912,39103.2,46002.4,100000
read,1549.6,2237.3,187.4,446.4,484.6,706.8,1005.2,1127.2,1239.6,4247.5,4739.8,5200.7,7997,30072.3,38810.5,45086.8,105000
read,1469.6,2060.0,173.5,414.2,452.3,700.1,947.6,1061.8,1168.3,4048.9,4689.2,5082.6,7734.3,28619.3,37739.4,46942.2,110000
