#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,411.8,240.3,160.7,203.4,222.2,384.6,460.3,509.3,544.4,585.4,630.2,686.1,797.3,2646.5,10585.5,29892.0,30000
read,398.8,229.9,160.7,200.0,216.2,368.8,439.9,492.2,531.9,576.8,626.5,686.8,790.3,1211.8,9653.0,35060.0,35000
read,396.4,209.8,160.7,199.0,215.7,367.0,437.0,483.3,519.6,564.4,621.4,694.5,805.4,1561.1,6460.6,40020.4,40000
read,405.9,218.4,160.7,200.5,218.1,381.4,452.7,495.9,530.1,573,628.3,701.3,828.6,1669.9,8842.1,44820.8,45000
read,401.3,233.8,160.7,198.6,215.3,377.1,450.9,493.0,525.6,566.7,620.5,691.2,821.5,1460.8,8506.9,49834.6,50000
read,403.5,206.4,148.8,197.8,215.0,381.3,456.7,498.9,531.2,571.5,625.6,699.8,832.6,1308.5,7727.6,54923.0,55000
read,393.4,440.0,148.8,194.4,210.3,369.3,444.2,486.7,517.9,555.6,608.8,681.2,799.5,1268.7,8565.2,60147.6,60000
read,404.3,221.2,148.8,198.2,215.7,378.5,461.6,506.2,536.8,573.2,620.0,688.7,821.1,1388.7,9222.3,64942.8,65000
read,380.5,187.0,148.8,194.6,209.7,351.5,426.6,469.9,502.0,539.6,588.8,668.8,806.1,1106.3,5284.9,69924.4,70000
read,394.3,211.9,148.8,199.0,216.7,367.9,446.3,489.6,520.0,554.8,601.6,672.4,795.2,1334.2,7685.7,75061.6,75000
read,377.5,202.3,148.8,196.2,211.8,348.1,419.8,462.3,493.5,529.3,575.9,650.8,795.8,1149.5,8484.9,79948.2,80000
read,373.6,186.1,148.8,196.6,212.6,348.0,416.4,456.4,485.2,518.9,564.5,636.0,776.1,1135.1,5061.6,85065.6,85000
read,395.0,213.1,148.8,206.2,225.9,368.8,436.1,476.5,505.9,542,590.2,667.9,821.6,1125.7,9336.5,90017.7,90000
read,576.3,320.0,148.8,253.7,304.0,522.2,588.2,657.9,756.9,889.4,985.3,1065.7,1173.3,1627.9,12338.0,93823.7,95000
read,598.6,380.0,160.7,266.1,314.5,542.5,597.4,640.2,722.7,958.9,1047.1,1115.6,1219.6,2581.9,16792.7,94788.8,100000
read,682.5,495.2,160.7,403.6,448.3,580.4,672.3,843.9,961.3,1026.1,1072.3,1132.8,1235.6,3418.9,16345.9,94488.5,105000
read,670.5,356.8,148.8,404.9,435.9,570.2,731.2,856.7,917.3,977.6,1038.0,1096.7,1190.7,2650.2,14538.6,96943.4,110000
