#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1447.7,1901.4,148.8,258.7,295.6,546.9,759.2,2125.8,3830.3,4012.2,4162.5,4297.5,5238.8,24640,36740.3,29958.3,30000
read,1341.1,2063.2,160.7,259.3,292.8,516.7,663.9,932.7,2181.3,3985.5,4175.6,4328.3,5707.1,30617,39322.3,34991.3,35000
read,1218.8,1907.4,160.7,261.7,295.5,503.2,629.5,727.5,920.3,3934.5,4192.5,4367.4,5592.2,28548.5,36342.4,39822.4,40000
read,1083.8,1587.8,160.7,273.2,310.3,520.5,650.3,746.5,848.0,1986.6,4093.3,4298.6,5090,15318.3,34848.1,44854.8,45000
read,1393.0,2109.5,187.4,413.9,449.0,633.5,902.4,998.0,1070.4,2702.0,4568.9,5080.6,7838.3,30636.8,37073.7,48693.6,50000
read,1357.1,2120.0,218.6,411.9,442.4,585.6,886.0,970.5,1023.4,2186.3,4563.7,5070.2,7821.9,30775.4,37870.8,50610.0,55000
read,1343.2,2095.1,160.7,402.5,436.7,583.3,871.3,964.9,1024.3,2165.4,4552.1,5052.4,7881.5,30614.4,37383.6,51272.2,60000
read,1331.7,2006.2,173.5,391.1,425.3,593.8,857.2,958.7,1024.9,2315.1,4551.5,4985.7,7711,28280.3,37814.8,51630.8,65000
read,1368.5,2043.9,187.4,417.5,448.6,591.1,905.0,995.2,1061.6,3534.1,4587.8,5020.5,7865.6,28523.9,37536.1,50241.8,70000
read,1299.4,1945.3,187.4,387.5,420.4,580.8,844.0,933.6,994.1,2169.7,4529.3,4947.1,7690.2,27075.1,37131.0,52620.8,75000
read,1324.5,2045.6,187.4,405.9,431.5,580.3,867.8,939.8,996.6,2158.1,4548.9,5009.2,7796,30448.6,39460.9,51905.0,80000
read,1336.4,2059.1,173.5,389.7,426.0,590.6,852.3,961.4,1027.8,2273.9,4549.7,5007.4,7815.9,30411.7,37373.6,51622.4,85000
read,1331.3,1999.1,173.5,392.8,426.9,606.1,859.3,944.2,1007.1,2310.1,4555.9,4993.4,7733.7,28186.7,37425.7,51444.3,90000
read,1387.7,2092.3,187.4,420.4,451.7,601.8,917.3,1004.9,1071.4,3591.9,4595.6,5057.5,7873.1,29749.9,39877.4,49695.2,95000
read,1331.2,2045.3,173.5,401.3,436.3,582.7,866.0,963.5,1021.0,2290.1,4546.5,5012.0,7819.9,28820.1,40253.5,51675,100000
read,1333.0,2034.7,187.4,398.1,430.7,585.8,860.0,953.2,1014.7,2275.9,4560.1,5004.6,7792.7,29867.2,37886.8,51688.8,105000
read,1373.3,2075.0,173.5,416.7,448.1,598.5,895.1,988.3,1057.3,3521.6,4582.2,5039.1,7900.8,29938.1,38191.2,50151.4,110000
