#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,396.7,240.0,148.8,204.1,221.4,361.0,438.0,491.9,529.9,572.1,618.0,675.2,787.6,1590.9,10442.9,30147.8,30000
read,403.1,259.6,148.8,203.3,220.6,371.6,442.6,494.0,531.6,574.4,621.0,676.6,783.4,3434.3,10185.8,34884.6,35000
read,405.9,204.0,148.8,206.3,223.6,376.9,448.9,497.9,536.0,582.4,635.1,699.1,813.3,1281.2,7897.9,40003.4,40000
read,405.9,235.0,160.7,206.4,223.7,377.7,449.0,494.3,530.4,575.6,631.3,700.3,821.4,1467.8,9631.6,44909.4,45000
read,393.4,753.3,148.8,203.3,219.2,363.4,429.0,470.4,506.7,552.9,611.2,680.5,794.8,1218,9482.1,50129.4,50000
read,405.0,1502.3,148.8,202.1,217.9,367.3,437.8,479.6,512.2,554.2,610.9,682.2,802.9,1452.4,14531.0,54871.2,55000
read,393.7,573.1,148.8,200.8,216.0,362.0,433.0,477.3,511.0,554.5,614.4,691.5,845.8,1203.7,8048.2,59809.6,60000
read,399.3,256.0,148.8,204.2,220.0,366.7,441.0,486.6,520.4,561.2,616.7,696.6,863.1,1442.6,8885.4,65025.0,65000
read,387.0,303.5,148.8,200.4,215.7,353.0,423.2,465.5,497.9,536.9,589.3,675.9,844.6,2211.9,9878.1,69923.6,70000
read,388.3,225.1,148.8,204.0,219.8,360.2,429.8,470.1,501.8,539.8,589.4,666.6,818.6,1455.2,9293.9,74813.4,75000
read,387.0,291.7,148.8,205.9,222.1,358.5,426.2,465.0,494.3,529.2,575.7,648.0,795.6,1889.9,10003.5,79941.6,80000
read,399.6,206.6,148.8,215.5,233.9,376.6,444.2,482.6,510.2,545.1,590.6,661.3,792.8,1093.1,8567.1,84742.4,85000
read,388.6,780.3,148.8,210.2,228.0,361.9,424.7,460.9,488.7,522.8,568.5,637.3,781.7,1405.8,8028.5,89836.0,90000
read,444.0,237.3,148.8,227.7,254.7,414.1,486.8,532.1,567.6,612.4,669.6,752.3,915.1,1134.1,8908.5,94991.0,95000
read,570.8,279.6,148.8,302.3,345.8,513.8,667.2,729.3,766.6,804.2,849.0,908.7,1007.6,1445.4,9461.4,100012.1,100000
read,658.0,321.7,160.7,392.9,426.5,556.2,742.5,852.9,905.6,952.8,997.1,1056.8,1158.7,2992.6,12431.4,98203.6,105000
read,615.5,506.6,160.7,347.4,386.5,537.8,683.6,773.6,830.7,883.4,932.2,992.7,1089.4,2005.7,13492.4,103072.4,110000
