#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,435.1,480.1,160.7,208.3,224.9,382.9,471.2,528.9,567.4,609.6,657.7,721.5,900.8,4837.3,25164.3,30053.2,30000
read,434.9,564.8,148.8,204.4,219.8,368.3,460.1,517.9,558.0,602.6,653.4,722.5,936.9,7247.3,29415.2,34902.2,35000
read,433.1,565.5,148.8,203.4,218.3,373.9,454.4,507.0,547.9,594.9,652.7,729.6,912.5,7625.4,30387.8,40150.4,40000
read,429.5,382.0,148.8,205.8,221.9,375.9,457.5,508.3,548.2,598.5,661.9,750.3,936.5,5204.3,12422.0,45096.8,45000
read,434.5,391.1,160.7,207.6,224.1,391.6,472.4,520.8,558.7,606.3,666.0,746.1,927.1,4844.8,13931.0,50070.0,50000
read,427.6,404.4,148.8,207.1,223.5,383.9,463.6,508.9,544.1,589.3,649.9,739,926.5,4748.1,13841.1,55045.0,55000
read,417.3,361.1,148.8,207.0,222.8,373.5,452.8,500.0,536.3,581.5,643.1,736.6,919.7,4215,12455.1,59779.2,60000
read,419.3,366.3,148.8,206.5,222.8,378.7,459.1,504.8,539.1,581.3,636.0,726.8,909.2,4285.6,10177.3,64991.1,65000
read,423.8,434.7,160.7,207.6,223.7,373.1,450.9,496.9,530.9,573.3,632.0,733.4,978.0,5477.1,10392.2,69963.6,70000
read,415.1,444.1,148.8,206.0,222.9,372.3,447.0,489.5,521.3,560.8,614.5,700.5,900.7,4689,17099.2,75083.6,75000
read,434.8,406.3,148.8,212.6,231.9,392.2,467.1,509.6,542.3,583.3,639.8,740.8,992.8,4969.8,15200.8,79747.4,80000
read,416.2,406.8,148.8,210.2,228.6,376.1,445.8,486.7,518.2,557.7,613.4,708.6,921.6,4701.6,16172.5,85134.7,85000
read,399.3,385.6,148.8,207.2,224.5,364.8,428.2,466.5,496.7,534.4,585.1,664.7,834.6,4452,11521.9,89974.2,90000
read,423.9,314.9,148.8,219.6,241.3,390.6,455.3,495.0,526.6,567.3,623.1,710.1,897.6,4214.1,10667.7,94878.0,95000
read,444.8,353.6,160.7,219.2,242.3,399.5,467.0,508.5,544.5,595.2,675.4,813.9,1011.3,4788.7,9592.1,99844.4,100000
read,633.9,355.2,160.7,363.0,391.1,554.5,751.3,803.6,836.8,870.2,916.2,981.3,1113.2,4273.2,12420.2,100360.6,105000
read,580.8,371.9,160.7,323.5,352.1,540.6,669.3,718.5,749.1,785.9,830.1,898.0,1046.4,4312.2,12706.6,106745.8,110000
