#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1398.0,2027.4,160.7,249.8,286.1,538.1,728.9,1980.7,3684.0,3846.2,3932.9,4019.5,5393.1,30855.4,37706.3,30055.4,30000
read,1385.8,2596.7,160.7,249.6,283.6,516.7,663.3,854.5,2167.6,3837.9,3947.4,4057.0,5891.2,32187,39101.5,34945.8,35000
read,1252.2,2386.5,160.7,253.9,287.5,499.1,636.2,740.8,892.8,3804.9,3942.3,4195.0,5729,32109.6,40572.7,40039.6,40000
read,1070.9,1711.1,160.7,258.6,294.7,499.1,629.8,738.7,839.6,1797.6,3883.5,4046.6,5120.1,26773.4,36363.8,44858.8,45000
read,1268.9,2038.2,160.7,333.3,387.2,572.8,799.9,943.5,1016.8,1818.3,4260.8,4873.8,7559.4,30647.7,37341.5,49896.8,50000
read,1321.9,2182.7,173.5,383.3,421.0,568.5,837.4,945.0,1003.4,1321.2,4533.5,5023.4,7801.2,31462.8,39393.2,51997.6,55000
read,1448.9,2340.4,202.4,441.1,472.7,599.8,955.3,1049.4,1104.8,3766.1,4646.0,5137.1,7934,31716.4,39916.6,48594.2,60000
read,1499.1,2371.7,187.4,461.3,492.3,626.3,993.6,1090.7,1165.3,3997.0,4675.3,5211.3,8019.7,31715.9,40902.5,46995.6,65000
read,1472.0,2254.3,173.5,455.3,486.4,621.3,992.7,1081.9,1155.2,3993.3,4663.9,5112.6,7918.5,31355,38402.4,47392.3,70000
read,1435.2,2288.0,187.4,436.5,463.8,601.3,948.1,1038.3,1095.3,3785.2,4638.1,5100.7,7995.8,31367.7,37665.9,48969.8,75000
read,1449.7,2221.5,173.5,437.6,469.0,629.4,943.0,1062.8,1151.3,3893.7,4647.5,5100.7,7863.6,31351.6,37485.2,47977.0,80000
read,1430.5,2245.2,187.4,439.2,469.8,596.1,953.3,1046.1,1099.5,3862.0,4638.1,5062.8,7897.4,31485.1,42441.2,48823.8,85000
read,1393.1,2252.2,187.4,408.9,439.3,593.4,886.9,999.5,1077.9,3539.3,4603.4,5060.9,7856.5,31267.9,39515.7,50387.0,90000
read,1470.7,2287.4,173.5,444.6,478.2,627.6,967.3,1075.9,1155.5,3939.8,4655.8,5131.1,7902.4,31272.1,48009.6,47458.4,95000
read,1431.5,2259.9,173.5,419.7,455.5,614.9,930.4,1035.3,1098.6,3792.1,4635.9,5097.9,7912.2,31387.1,36816.1,48659.0,100000
read,1399.2,2178.7,187.4,422.2,454.3,593.4,917.1,1015.2,1081.5,3672.3,4618.7,5042.5,7846.7,31199.3,37300.5,49647.4,105000
read,1424.2,2320.2,187.4,430.8,460.2,591.8,936.0,1031.8,1089.6,3647.9,4633.0,5100.5,7930.6,31694.4,39241.4,49357.9,110000
