#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1448.6,1854.6,173.5,282.0,324.1,581.7,783.5,2254.7,3573.1,3729.9,3877.6,4022.2,5722.7,24248,33654.1,29920.6,30000
read,1318.5,1799.9,160.7,278.5,317.6,566.7,724.0,879.8,3379.4,3653.4,3842.2,4053.6,5707.7,22192,32095.8,34891.4,35000
read,1215.7,1658.6,160.7,277.0,312.9,539.1,682.2,791.9,969.0,3610.2,3834.9,4094.9,5569.4,15585.4,31012.3,40040.9,40000
read,1103.5,1562.3,160.7,268.6,303.5,508.8,634.1,725.3,820.3,3504.5,3778.8,4053.8,5419.1,15442.9,29981.7,44930.6,45000
read,1162.3,1744.6,160.7,301.9,343.5,567.2,722.4,822.3,913.5,1216.3,3893.9,4565.7,6321.9,20224,36698.8,49853.0,50000
read,1394.2,2024.7,187.4,407.3,440.8,670.7,909.3,992.9,1064.4,3659.0,4602.9,5062.9,7742.4,25210.7,36801.5,48998.0,55000
read,1544.4,2127.8,187.4,452.7,491.9,701.5,1023.9,1149.3,1272.0,4275.7,4718.9,5153.4,7766.8,29492.2,37268.5,44733.2,60000
read,1468.4,2046.8,218.6,431.6,465.8,687.7,970.6,1064.6,1156.0,4068.9,4665.0,5061.5,7793.6,28403,37557.2,46903.2,65000
read,1431.5,1991.7,173.5,416.0,449.9,679.7,940.4,1027.0,1107.4,3878.4,4646.8,5064.2,7846.1,25344.9,36576.8,47929.2,70000
read,1538.9,2130.9,202.4,450.6,489.6,707.3,1015.6,1138.0,1248.8,4267.3,4722.9,5144.9,7906.6,29473.9,37890.0,44987.0,75000
read,1349.3,1984.0,187.4,382.5,415.3,677.7,856.2,929.9,997.8,3513.7,4550.1,5038.0,7732.6,27170.8,36437.7,51065.2,80000
read,1395.2,1995.6,187.4,400.7,434.2,691,900.6,981.3,1055.6,3686.1,4612.8,5063.6,7787.6,28053.2,35660.6,49252.0,85000
read,1468.0,2078.3,187.4,433.6,467.7,681.3,970.5,1063.1,1145.7,3893.7,4658.5,5104.0,7882.7,28755.7,36428.1,47127.6,90000
read,1528.7,2120.0,187.4,448.1,485.9,701.1,1006.5,1139.5,1262.3,4113.9,4709.4,5178.9,7931.8,29442.3,37587.3,45190.0,95000
read,1518.5,2091.1,202.4,442.1,479.3,710.9,992.8,1110.1,1231.3,4157.9,4706.9,5162.4,7898.4,28678.6,36063.6,45319.6,100000
read,1440.4,2063.2,187.4,412.8,446.3,686.8,928.2,1021.7,1117.8,3905.7,4644.6,5072.7,7811,28743.9,37941.7,47938.6,105000
read,1461.8,2076.7,173.5,423.3,458.5,682.8,952.1,1051.5,1151.2,3972.0,4660.6,5084.2,7854.7,29482,36521.8,47221.6,110000
