#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,468.8,462.6,160.7,222.8,241.9,417.9,502.2,552.9,590.2,632.8,684.1,761.7,1020.0,6794.8,19291.8,29930.0,30000
read,480.6,428.0,160.7,225.3,245.7,445.7,528.0,576.1,611.9,654.4,709.9,795.1,1002.7,4854.8,12862.3,34894.4,35000
read,461.1,405.2,160.7,219.9,237.5,423.2,501.6,547.7,584.0,627.7,684.0,770,993.4,4580.2,12431.6,40071.2,40000
read,475.0,470.2,160.7,222.5,241.9,436.6,523.0,571.6,607.9,652.1,713.4,801.7,1009.2,6094.7,17163.8,45015.6,45000
read,461.7,421.3,160.7,218.9,236.8,422.8,508.6,555.4,590.6,634.8,691.3,780,997.0,4962,13452.4,49845.6,50000
read,463.6,532.8,160.7,217.1,233.9,404.2,488.3,538.1,577.7,627.2,693.4,800.4,1085.5,7578.6,21620.8,55138.7,55000
read,468.7,426.2,160.7,222.3,241.7,418.5,508.2,560.3,598.7,646.9,712.2,815.9,1067.4,6143.4,15191.4,60112.2,60000
read,466.2,377.2,160.7,224.1,244.2,424.1,513.4,563.0,598.0,641,701.8,803.4,1032.1,4344.4,12589.2,64974.6,65000
read,452.3,342.5,160.7,222.3,242.5,410.9,498.1,545.8,581.7,624.7,682.6,778.8,1002.2,4666.2,10747.1,69975.6,70000
read,471.2,398.5,160.7,225.5,248.6,425.8,511.5,559.9,595.1,638.9,699.2,801.7,1073.2,5569.7,12062.9,75131.1,75000
read,464.0,408.7,160.7,228.0,251.4,418.0,499.4,547.4,585.0,632.5,696.1,797.7,1059.3,4966.1,12770.5,79948.6,80000
read,470.9,356.6,160.7,229.4,254.2,426.5,506.7,554.8,593.1,641.6,712.5,826.9,1064.8,4602.2,10662.6,85005.9,85000
read,731.1,510.6,173.5,407.0,443.0,626.0,829.8,914.3,964.1,1015.2,1077.3,1162.1,1359.6,7036.6,17354.4,86676.4,90000
read,678.0,445.1,173.5,365.4,406.0,606.8,749.9,829.0,879.9,937.2,1010.5,1106.9,1274.4,5097.7,15563.9,92205.2,95000
read,756.7,502.4,187.4,432.1,467.5,636.1,865.8,954.6,1006.9,1061.7,1121.5,1194.3,1368.3,7490.6,19073.8,86732.4,100000
read,713.9,512.1,173.5,401.7,436.1,616.3,815.4,891.2,936.7,988.3,1050.0,1137.3,1306.5,7770.6,20204.9,91448.8,105000
read,749.8,483.3,160.7,429.6,467.1,628.3,861.5,958.3,1010.9,1060.6,1113.1,1179.5,1344.9,7392.5,19032.0,87426,110000
