#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,411.2,258.0,160.7,207.5,226.4,379.5,456.5,506.6,543.3,583.2,626.4,681.0,796.3,2648.7,10287.8,29915.2,30000
read,399.6,287.6,148.8,202.1,218.1,358.5,433.8,486.9,525.4,570.1,622.4,688.0,827.1,3547.5,12474.8,35062.0,35000
read,391.0,194.3,160.7,203.5,219.5,358.7,427.2,474.6,514.1,562.1,616.5,682.2,794.9,1462.2,6375.7,40142.9,40000
read,409.8,207.3,160.7,208.3,227.0,386.7,456.8,500.1,534.4,577.7,630.1,691.6,797.9,1477.3,6717.6,45054.4,45000
read,394.8,231.4,148.8,204.2,220.3,365.9,432.1,474.2,509.6,555.3,614.4,684.0,796.8,1491.1,8804.9,49792.4,50000
read,387.5,208.3,148.8,201.7,217.1,358.7,426.5,467.9,502.8,546.8,604.6,677.6,799.2,1341.9,8547.6,54981.8,55000
read,380.7,228.2,148.8,198.2,212.9,349.9,415.3,458.1,492.9,536.9,595,676.4,802.9,1348,10263.3,59824.0,60000
read,387.5,221.1,148.8,201.4,216.8,357.9,428.8,470.4,502.5,542.1,595.9,672.7,808.8,1414.3,9557.5,64820.4,65000
read,383.6,217.4,148.8,201.0,216.3,355.9,425.9,466.4,497.1,533.9,584.3,659.0,792.8,1490.9,8551.8,69860.2,70000
read,386.9,209.1,148.8,204.9,220.8,359.8,430.4,470.6,500.6,536.2,583.5,660.5,807.9,1173.7,8919.9,74841.2,75000
read,380.6,218.3,148.8,203.9,219.8,353.7,419.3,457.0,485.4,520.3,567.6,641.9,793.8,1947.2,8273.8,79931.8,80000
read,377.2,212.0,148.8,204.5,220.6,352.9,415.9,453.0,480.0,512.5,557.3,629.9,779.0,1249.9,9234.2,84950.2,85000
read,381.5,198.1,148.8,208.5,226.2,359.0,420.3,455.0,480.6,512.0,556.7,630.5,772.3,1183.4,8236.8,89799.6,90000
read,388.8,182.1,160.7,215.0,234.4,367.3,425.9,461.1,488.0,520.6,564.9,634.4,776.2,1191.5,5965.7,94989.8,95000
read,637.8,284.3,148.8,374.0,409.7,547.3,732.5,827.2,874.1,916.5,962.3,1013.8,1104.0,1593.1,10116.4,97554.4,100000
read,630.6,333.3,160.7,339.2,394.7,535.4,689.1,828.7,884.8,930.7,978.8,1036.9,1171.9,2066.3,13056.6,98185.0,105000
read,666.3,332.5,173.5,403.0,433.6,558.6,778.8,875.8,916.9,958.3,1000.2,1059.2,1162.5,2577.9,12146.5,97341.0,110000
