#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,263.2,218.4,148.8,186.6,193.9,241.6,269.6,287.7,301.3,318.6,342.5,378.1,462.5,1869.6,11375.6,29951.9,30000,1683807659460,1683807669610
read,267.5,231.2,148.8,185.1,193,241,270.2,289.5,304.7,324,350.6,390.1,506.6,3089.9,10611.9,30061.6,30005,1683807671117,1683807681242
read,274.3,215.7,148.8,191.7,200.9,251.1,280.7,299.4,315.2,334.9,360.5,398,492,2249.2,10599.6,30042.2,30010,1683807682751,1683807692855
read,295.4,378.2,148.8,188.6,196.7,250.9,282.8,303.1,318.8,340.3,369.7,421.3,1013.8,6292.7,13177.1,29965.1,30015,1683807694364,1683807704471
read,291.3,292.2,148.8,191.7,200.7,256.5,289.1,309.6,325.1,344.8,370.3,411.5,735.7,4247.4,10495.8,30040.2,30020,1683807705980,1683807716091
read,282.1,248.5,148.8,190.7,199.7,253.2,284.2,303.7,318.7,339,365.8,403.5,554.5,3552.7,8648.7,30001.9,30025,1683807717602,1683807727712
read,273.2,261.8,148.8,188.9,196.4,245.8,274.7,293.7,309,327.4,352.2,390.1,522.2,2558.3,10877.4,30058.8,30030,1683807729220,1683807739337
read,278.3,263,148.8,190.2,198.9,253.1,284,303.1,317.8,337.3,362.2,397.9,502.6,3514.9,10604.4,30002.4,30035,1683807740850,1683807750956
read,303.7,482.1,148.8,189.9,198.2,248.4,278.5,298.2,314.8,335.1,362.2,406.9,1327.6,7410.8,16218.3,30034.1,30040,1683807752464,1683807762570
read,281.7,313.6,148.8,185,193.7,246.5,276.9,296.5,312.4,332,358.8,398.7,625.2,5078.5,9879.4,29951.5,30045,1683807764078,1683807774182
read,274.4,247.8,148.8,187.6,194.8,245.2,274.9,294.8,310.7,330,356.3,393.8,502.2,3979.7,8789.2,30028.5,30050,1683807775690,1683807785799
read,278.1,285.4,148.8,190.1,198.3,248.1,276.3,294.6,309.7,328.3,354.2,393,497.9,4497.1,9585.8,30027.8,30055,1683807787307,1683807797415
read,281.2,344.4,148.8,187.6,195,245.3,274.5,294.1,309.8,329.2,356.4,396.6,519.8,5574.2,12615.9,29940.3,30060,1683807798925,1683807809029
read,279,483.4,148.8,187.6,195,247.5,279,298.3,314.1,333.3,358.5,396.6,503.9,4735.5,12160.9,30047.6,30065,1683807810540,1683807820652
read,277.3,322.7,160.7,188.1,195.1,243.3,272.8,292.5,308.1,327,352.9,393.2,504.4,5491.1,10846.9,30035.3,30070,1683807822162,1683807832267
read,270.8,228.7,148.8,188.4,195.6,245.7,274.9,294.9,310.6,329.4,354.5,391.7,486.6,3258.1,9992.8,30027.7,30075,1683807833776,1683807843883
