#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,453.8,314.8,187.4,278.0,316.5,431.6,472.5,495.7,510.5,533.1,560.8,614.3,763.3,4632.7,14148.2,4929.6,5000,1684252345473,1.68425E+12
read,471.1,379.3,173.5,251.5,274.7,455.4,514.6,545.6,572.4,603.4,640.0,699.3,842.3,4299.5,15551.8,9960.6,10000,1684252352354,1.68425E+12
read,496.1,422.9,173.5,249.6,272.5,465.9,547.9,598.2,631.8,671.0,720.6,797.3,989.7,4032.1,24082.0,14897.4,15000,1684252359201,1.68425E+12
read,495.8,339.3,173.5,246.1,269.4,459.2,548.3,606.5,646.6,692.0,747.2,830,992.4,4135.5,14621.7,19972.6,20000,1684252366000,1.68425E+12
read,499.6,333.9,173.5,243.5,266.8,462.9,548.3,607.6,649.8,701.7,766.7,857.2,1034.4,3411.3,12440.7,24953.0,25000,1684252372795,1.68425E+12
read,505.9,313.5,173.5,244.0,268.1,468.3,557.1,615.5,659.2,714.3,787.6,889.1,1097.3,2044.8,11785.4,29921.8,30000,1684252379591,1.68425E+12
read,505.8,318.3,173.5,241.5,263.7,464.6,559.7,619.9,664.5,720.4,793.0,900.2,1148.3,2393.6,11872.8,35168.4,35000,1684252386402,1.68425E+12
read,487.5,320.0,173.5,236.9,257.0,442.2,534.8,594.6,639.7,695.8,775.1,882.1,1109.7,2304.2,12707.4,40101.0,40000,1684252393194,1.68425E+12
read,483.2,286.0,160.7,235.7,255.6,441.6,536.6,593.6,637.4,692.2,767.1,876.6,1094.7,1741.7,10411.7,44839.4,45000,1684252399971,1.68425E+12
read,478.6,293.6,160.7,233.3,252.6,434.7,531.9,590.9,633.8,686.1,756.8,867.0,1106.1,1596.1,11509.4,50030.6,50000,1684252406760,1.68425E+12
read,468.3,248.4,173.5,233.1,252.4,423.0,516.0,575.3,619.3,673.3,745.2,854.7,1080.3,1550.5,8088.7,55014.0,55000,1684252413562,1.68425E+12
read,464.4,259.9,173.5,234.1,253.6,421.6,511.8,568.8,611.9,662.7,729.8,834.5,1051.5,1508.5,9636.1,59870.5,60000,1684252420372,1.68425E+12
read,463.8,250.2,173.5,235.7,255.7,421.3,508.0,562.6,605.2,656.5,726.6,837.4,1075.5,1537.1,8293.2,64794.2,65000,1684252427165,1.68425E+12
read,454.2,279.0,173.5,233.7,253.4,411.5,492.3,543.5,585.8,636.6,706.6,812.9,1042.6,1492.5,12642.4,70001.2,70000,1684252433952,1.68425E+12
read,450.6,238.1,173.5,235.9,257.0,415.0,491.2,537.7,574.9,621.4,685.5,787,999.8,1457.9,8058.7,75201.8,75000,1684252440726,1.68425E+12
read,475.4,252.5,160.7,243.7,268.6,435.4,515.3,565.1,604.2,654.4,723.8,830.3,1098.8,1629.1,9824.1,79977.8,80000,1684252447522,1.68425E+12
read,713.5,410.8,173.5,373.6,428.1,617.9,795.3,914.6,979.8,1042.4,1105.7,1185.6,1343.7,3840.3,15845.9,83968.9,85000,1684252454304,1.68425E+12
read,785.4,394.5,173.5,473.3,505.8,652.2,910.1,1034.3,1087.4,1137.8,1187.3,1262.9,1428.1,3676.1,15109.6,82891.2,90000,1684252461089,1.68425E+12
read,748.9,392.4,187.4,448.4,481.2,623.0,868.9,983.2,1037.2,1084.8,1138.6,1204.0,1356.8,3397.9,15347.1,86723.2,95000,1684252467878,1.68425E+12
read,757.4,408.3,173.5,461.5,492.8,627.3,849.3,1001.7,1057.5,1108.7,1160.6,1231.5,1364.3,3144.9,17270.6,86331.2,100000,1684252474666,1.68425E+12
read,764.9,413.0,173.5,468.7,497.7,628.5,873.6,1018.2,1068.1,1117.6,1167.0,1239.3,1378.9,3906,15684.9,85770.6,105000,1684252481449,1.68425E+12
read,762.8,400.8,187.4,458.7,493.0,631.2,862.4,1004.3,1060.8,1112.9,1164.2,1236.7,1377.0,4044.9,15066.1,85983.1,110000,1684252488247,1.68425E+12
read,777.8,390.4,187.4,477.2,510.2,641.6,862.8,1030.4,1088.5,1139.9,1190.1,1262.1,1404.2,3676.3,13222.8,84275.4,115000,1684252495028,1.68425E+12
read,789.6,412.4,173.5,479.0,513.8,647.1,903.6,1044.3,1102.4,1150.7,1202.9,1269.0,1437.1,4113.8,15359.7,83196.6,120000,1684252501816,1.68425E+12
read,766.6,433.7,187.4,462.4,494.5,630.5,875.3,1014.7,1066.0,1116.2,1166.7,1239.6,1380.6,4321.2,15391.2,85716.0,125000,1684252508619,1.68425E+12
