#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,385.2,458.5,173.5,245.7,276.1,353.7,380.4,397.2,410,428.1,452.2,492.6,700.9,6895.7,20909.4,4991,5000,1684363609366,1684363614727
read,382.3,281.8,160.7,224.7,247.9,373.3,415.2,436.5,452.7,469.1,493.6,529.7,608.8,3946.9,12605.8,9944.2,10000,1684363616230,1684363621572
read,391.7,277.2,160.7,219.3,240,384.9,438,462.8,480.1,499.7,525,562.9,653.9,3183.5,12082.7,14966.2,15000,1684363623076,1684363628371
read,381.9,229.6,160.7,213.6,231.5,369.3,433.8,463.9,483.5,503.8,530.1,566.9,641.8,2877.7,7546.2,19934.2,20000,1684363629874,1684363635177
read,381.1,222.5,160.7,209.9,227,361.1,434.6,469,491.1,514.2,541.8,583.4,676,1718.5,9154,24828.6,25000,1684363636680,1684363641980
read,372.6,250.4,160.7,207.8,223.1,346.1,419.1,457.9,482.6,507.6,538.8,583,678,2479.8,10248.7,30032.8,30000,1684363643483,1684363648792
read,370.9,251.9,148.8,206.8,220.9,336.9,413.5,458.5,486.8,516,546.7,589.6,682.2,2913.5,12064.3,34900.2,35000,1684363650295,1684363655581
read,368.1,195.7,160.7,207.5,222.1,337.8,409.1,454.3,484.7,516.9,551.2,598.6,687.4,1144.2,7736.2,40020.2,40000,1684363657084,1684363662374
read,362.9,204.8,160.7,206.5,220.3,329.1,398.8,443.8,475.9,510,546.7,594.4,690.8,1353.2,8533.8,44787.7,45000,1684363663878,1684363669162
read,350.9,223.3,160.7,202.9,215.1,313.9,379.2,423.8,456.9,492.9,532.1,582.5,677,1997.8,9928,49990,50000,1684363670665,1684363675950
read,349.2,195.2,148.8,205.2,218.4,314.4,376.4,418.5,451.1,487.7,528.6,582.2,676.6,1336.6,8946.8,54884.2,55000,1684363677453,1684363682738
read,339.1,216.2,148.8,202.4,213.8,302.9,361.7,401.4,434.7,473.8,517.1,571.5,676.1,1221.1,8902.5,60085.6,60000,1684363684240,1684363689533
read,330.9,172.1,148.8,197.7,209.4,293.8,352.3,392.8,425.1,464.2,507.7,563.4,660.9,1450.1,5822.9,64963.8,65000,1684363691036,1684363696317
read,326.5,215.3,148.8,198.9,210.4,291.3,343.9,380.9,411.9,451.3,497.5,552.6,642.4,1168.7,8210.2,69818.6,70000,1684363697821,1684363703115
read,324.6,185.8,148.8,201.2,212.6,291.3,343.1,377.4,404.7,441.2,486,542.2,638.8,1090.9,7979.9,74754.2,75000,1684363704618,1684363709897
read,319.5,188.1,148.8,200.9,212.1,286.1,334.2,366.7,393.8,429.4,474.4,534.6,634.7,1490.4,7692,79933.8,80000,1684363711399,1684363716677
read,311.3,171.5,148.8,197.1,208.4,280.6,324.8,355.3,380.6,415.1,461,520.4,626.1,1098.3,6441.6,85046.1,85000,1684363718183,1684363723465
read,300.8,151.9,148.8,195,205.8,271.5,313.2,340.4,363.6,394.2,437.1,497.5,597.2,1311.8,6242.3,90059.4,90000,1684363724968,1684363730248
read,309.1,158.7,148.8,197.3,208.5,281.3,326.3,355.1,376.9,405.1,446,503.6,607.9,1284.4,6445.2,94864.6,95000,1684363731753,1684363737044
read,294.9,161.3,148.8,195.6,206.1,268.4,306.5,331.1,350.6,377.7,418,477.6,582.6,994,6423.9,100225.8,100000,1684363738547,1684363743839
read,302.6,143.9,148.8,198.9,209.9,279.6,320.7,346.1,366.7,391.9,425.8,475.5,571.4,800.9,5948.4,105077.9,105000,1684363745342,1684363750628
read,295,148.4,148.8,197.2,208.1,272.9,310.5,333.4,350.9,373.5,406.5,459.2,555.2,1106.3,5670.3,109862.2,110000,1684363752131,1684363757418
read,295.9,166.2,148.8,198.3,208.9,273.6,310.8,333.6,350.9,373.1,404.1,456.4,552.4,1322.8,6579.1,114979,115000,1684363758922,1684363764212
read,291,149.6,148.8,197.9,208.6,271.4,306.6,327.6,343.7,365,394.1,440.8,534.6,992.2,6183.4,120123.5,120000,1684363765715,1684363770996
read,292.3,126.3,148.8,200.5,210.8,273.9,308.9,329.7,345.1,366,393.9,438.2,530.5,771.9,5412,124827.8,125000,1684363772501,1684363777791
