#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,485.3,530.1,187.4,281.3,323.9,444.6,488.1,512.2,532.1,553.0,588.3,642.0,886.6,8617.6,17255.7,4971.4,5000,1684251119894,1.68425E+12
read,488.7,407.6,173.5,254.3,280.5,469.4,531.1,566.5,594.7,628.6,670.6,734.2,887.9,4475.2,14316.1,10026.6,10000,1684251126769,1.68425E+12
read,503.9,434.5,187.4,248.9,272.5,470.4,549.2,599,633.3,675.1,729.1,806.8,996.5,6219.3,17282.9,15107.4,15000,1684251133610,1.68425E+12
read,513.1,329.2,173.5,247.7,272.0,476.0,567.7,626.7,670.3,722.0,784.5,867.1,1045.5,3968.4,12318.1,19996.2,20000,1684251140404,1.68425E+12
read,513.5,342.5,173.5,246.9,270.2,471.4,565.2,625.9,673.0,731.6,800.8,894.5,1094.9,2848.8,13051.7,24947.6,25000,1684251147207,1.68425E+12
read,511.6,374.6,173.5,243.4,267.0,471.2,560.3,617.7,662.3,720.5,797.0,900.8,1113.7,3801.2,15066.1,29992.6,30000,1684251154007,1.68425E+12
read,513.4,360.1,173.5,242.3,264.6,470.8,567.6,628,674.0,732.9,808.1,914.7,1150.9,3123.7,15528.3,34924.6,35000,1684251160802,1.68425E+12
read,493.9,276.3,173.5,238.1,258.4,451.6,547.3,607.7,652.0,709.1,786.4,893.0,1120.4,3527.6,9456.3,40105.6,40000,1684251167586,1.68425E+12
read,488.8,281.3,173.5,236.6,256.9,443.4,541.7,603,647.0,704.8,783.4,899.2,1123.5,1837.3,8193.3,45002.8,45000,1684251174377,1.68425E+12
read,472.2,297.9,173.5,234.1,253.0,422.7,515.7,574.3,619.9,676.4,750.4,868.6,1134.0,1799.2,11956.0,50062.5,50000,1684251181154,1.68425E+12
read,474.8,303.2,160.7,235.5,255.2,427.9,522.0,579.9,624.2,677.0,746.0,861.1,1096.2,1919.5,12294.0,54999.8,55000,1684251187946,1.68425E+12
read,476.1,309.9,173.5,236.4,256.4,428.2,521.0,578.1,622.0,676.8,748.6,864.0,1129.4,1753.8,12706.3,59941.6,60000,1684251194730,1.68425E+12
read,458.8,257.8,173.5,233.7,253.7,416.4,499.5,550.5,593.1,643.2,715.8,829.2,1076.1,1561.7,7842.3,64924.2,65000,1684251201537,1.68425E+12
read,455.0,260.1,173.5,235.4,255.2,410.5,491.4,543.2,586.6,638.5,710.3,815.6,1048.7,1531.9,9957.2,70021.4,70000,1684251208323,1.68425E+12
read,453.0,281.0,173.5,236.9,257.8,411.7,486.5,534.1,573.2,623.7,692.8,801.5,1038.5,1780.7,9974.2,75014.2,75000,1684251215106,1.68425E+12
read,476.8,300.6,173.5,246.4,272.0,438.3,516.8,566.8,605.6,655.2,722.9,823.9,1035.1,1653.6,12552.7,80072.4,80000,1684251221895,1.68425E+12
read,574.6,320.5,173.5,287.0,328.7,522.9,623.8,692.4,746.4,808.5,886.8,998.8,1189.8,1956.7,12218.3,85162.4,85000,1684251228681,1.68425E+12
read,795.8,405.6,160.7,479.9,515.6,665.5,880.4,1045.9,1108.0,1161.2,1220.7,1290.7,1452.8,4057.8,15200.9,81939.8,90000,1684251235466,1.68425E+12
read,793.6,416.3,173.5,480.3,514.5,653.4,907.0,1053.3,1110.0,1157.2,1210.4,1275.4,1442.4,4324.1,15569.6,82463.4,95000,1684251242255,1.68425E+12
read,801.1,453.6,202.4,484.0,519.4,663.0,887.7,1056.2,1119.2,1171.6,1228.6,1293.3,1455.7,4146.7,18158.0,81985.2,100000,1684251249057,1.68425E+12
read,772.7,424.5,173.5,465.9,497.1,636.7,892.3,1024.0,1073.9,1123.9,1174.2,1248.6,1381.8,3967.8,17147.9,85027.8,105000,1684251255844,1.68425E+12
read,764.3,438.3,187.4,460.0,492.5,632.1,873.8,1012.7,1064.7,1115.2,1166.1,1237.2,1367.2,3800.2,19532.5,85958.6,110000,1684251262632,1.68425E+12
read,808.2,479.0,173.5,486.8,523.2,671.7,891.6,1058.7,1123.8,1179.2,1237.0,1307.9,1461.7,4308.2,20087.2,81535.4,115000,1684251269440,1.68425E+12
read,774.0,385.8,187.4,471.0,503.2,639.0,873.6,1026.5,1082.3,1133.7,1183.1,1258.0,1422.0,3254.3,15200.2,84634.2,120000,1684251276230,1.68425E+12
read,786.9,461.4,202.4,477.8,511.4,646.0,889.3,1039.9,1097.5,1147.1,1199.4,1268.2,1423.1,4221.5,20007.9,83641.4,125000,1684251283027,1.68425E+12
