#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,439.4,441.9,187.4,269.9,304.2,411.9,448.6,469.5,487.0,505.5,533.9,578.8,741.3,6231.7,12799.2,4975.2,5000,1684252009860,1.68425E+12
read,464.1,406.9,173.5,249.2,272.5,445.9,502.8,534.4,557.2,587.4,625.9,684.2,850.8,4306.4,15980.1,9925.6,10000,1684252016738,1.68425E+12
read,486.1,371.9,173.5,246.7,268.7,454.5,533.3,581,616.2,654.8,703.3,778.4,938.3,5064.1,14092.6,14971.0,15000,1684252023572,1.68425E+12
read,503.8,405.5,173.5,252.2,276.2,463.2,549.9,609.6,650.3,697.9,756.8,842.1,1030.2,4095.2,23906.8,19997.2,20000,1684252030365,1.68425E+12
read,511.8,302.3,173.5,249.4,274.5,474.1,563.9,622.3,665.6,719.4,787.9,881.0,1076.2,3200.8,11576.4,24958.8,25000,1684252037193,1.68425E+12
read,498.1,297.5,173.5,242.9,265.4,460.8,548.0,606.8,651.4,708.7,778.8,871.0,1061.2,1935,11836.3,29940.0,30000,1684252043993,1.68425E+12
read,499.6,305.0,173.5,239.9,262.7,463.7,553.4,609.9,652.6,707,780.6,877.6,1079.7,2786.7,12580.6,34905.8,35000,1684252050783,1.68425E+12
read,557.5,771.9,173.5,238.2,258.9,453.3,553.2,620.4,674.2,746.5,848.1,1032.9,2597.2,7213.8,31335.9,39918.8,40000,1684252057569,1.68425E+12
read,572.4,768.6,160.7,236.6,256.0,434.6,536.5,602.7,654.3,724.6,820.7,1001.4,4251.3,9795.5,14745.3,44875.6,45000,1684252064368,1.68425E+12
read,468.7,258.8,173.5,233.6,253.1,424.8,515.6,572,615.4,668.9,741.8,854.5,1072.6,1978.2,8783.6,50020.4,50000,1684252071151,1.68425E+12
read,465.9,290.0,160.7,232.0,251.3,421.4,510.7,565.9,609.3,661,731.2,841.3,1085.8,2711.6,9167.4,54927.4,55000,1684252077942,1.68425E+12
read,465.4,260.4,173.5,233.7,253.2,419.7,510.1,568.3,612.8,665.9,735.3,843.4,1074.7,1808.8,8299.0,60036.6,60000,1684252084726,1.68425E+12
read,449.0,245.4,173.5,231.0,249.5,404.2,489.2,542.3,584.9,636.4,704.8,808.2,1030.1,1615.6,9297.8,65009.6,65000,1684252091512,1.68425E+12
read,451.3,235.0,160.7,232.1,252.0,412.3,491.8,541.8,582.3,631.2,697.6,802.7,1034.3,1696,8283.1,70020.8,70000,1684252098298,1.68425E+12
read,458.5,245.1,160.7,237.8,259.9,424.8,503.3,549.6,586.4,631.8,693.9,790.7,1002.7,1378.4,8736.5,74991.0,75000,1684252105080,1.68425E+12
read,455.0,269.4,160.7,237.4,259.6,418.1,491.9,537.9,575.4,622.6,686.7,793.5,1007.4,1590.3,11067.4,80041.9,80000,1684252111866,1.68425E+12
read,559.1,308.9,160.7,275.6,313.9,508.4,608.5,678.9,731.9,793,866.4,973.1,1163.0,1910,12318.1,84994.6,85000,1684252118638,1.68425E+12
read,714.7,376.2,187.4,408.9,443.6,616.9,838.7,918.9,965.5,1011.9,1066.9,1140.8,1288.1,2938.6,15719.5,88621.6,90000,1684252125432,1.68425E+12
read,751.4,504.3,173.5,435.9,471.7,630.2,873.8,970.1,1022.2,1069.9,1123.5,1187.6,1363.2,4170.9,21872.4,87133.1,95000,1684252132222,1.68425E+12
read,792.8,520.5,173.5,482.1,516.1,650.6,900.8,1053.2,1110.9,1157.4,1209.3,1272.2,1429.8,3880.9,16105.1,82931.2,100000,1684252139008,1.68425E+12
read,722.3,379.5,187.4,420.0,453.2,611.8,852.4,938.4,985.0,1032.0,1081.8,1152.5,1281.7,2767.6,15194.8,90492.2,105000,1684252145796,1.68425E+12
read,747.8,400.6,173.5,442.7,475.7,627.3,877.3,975.5,1026.0,1073.1,1127.0,1191.8,1356.2,3303.2,14708.3,87590.8,110000,1684252152588,1.68425E+12
read,739.2,385.6,160.7,442.5,474.9,612.0,874.2,979.0,1028.3,1072.6,1122.8,1183.4,1337.0,2820.5,16523.8,88595.6,115000,1684252159383,1.68425E+12
read,739.4,377.3,173.5,448.1,477.9,607.7,878.4,980.8,1028.5,1070.7,1118.5,1179.7,1329.6,3414.4,16241.0,88581.3,120000,1684252166179,1.68425E+12
read,755.7,405.7,187.4,451.6,484.7,629.9,875.3,989.4,1043.1,1092.0,1147.2,1218.5,1364.4,3530,16228.0,86841.0,125000,1684252172996,1.68425E+12
