#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,497.0,505.2,187.4,281.2,325.6,464.4,507.4,531.5,546.8,570.8,600.2,656.5,854.4,8480,16073.1,4981.2,5000,1684250187547,1684250192931
read,500.7,361.6,187.4,255.8,280.3,485.7,553.6,591.9,621.6,654.7,693.5,759.0,880.4,5197.5,11967.2,9966.0,10000,1684250194439,1684250199789
read,512.6,372.2,173.5,251.1,275.4,486.2,574.8,624.2,659.4,699.1,750.3,825.8,969.1,4951.5,14763.6,15080.4,15000,1684250201294,1684250206606
read,517.8,335.0,173.5,248.8,272.4,481.4,579.7,639.6,681.6,729.6,788.8,867.2,1038.3,3972.5,13423.0,20109.4,20000,1684250208111,1684250213399
read,506.5,316.0,173.5,246.0,268.1,464.0,560.7,623.2,670.1,725.8,794.8,888.3,1074.9,3232.6,10663.8,24998.2,25000,1684250214903,1684250220195
read,508.7,371.4,173.5,245.2,267.5,462.3,558.6,619.0,666.0,726.2,805.5,913.1,1120.4,3287.6,13700.0,29928.8,30000,1684250221699,1684250226993
read,513.9,397.1,173.5,241.2,263.7,468.6,563.1,621.8,668.5,730.4,810.1,922.8,1166.7,4082,15827.4,35143.8,35000,1684250228497,1684250233780
read,496.7,304.7,173.5,239.8,261.0,452.0,546.1,603.8,649.0,707.0,790.7,909.3,1153.6,2095.3,11971.9,39866.0,40000,1684250235285,1684250240569
read,486.7,294.5,173.5,235.6,255.5,444.9,542.5,598.4,639.8,693.4,774.3,891.1,1102.6,1838.5,11511.9,45028.8,45000,1684250242073,1684250247348
read,463.4,336.2,160.7,233.6,251.1,411.9,502.9,561.5,608.6,667.3,742.5,850.9,1069.1,2702.9,10960.2,49928.6,50000,1684250248852,1684250254134
read,468.7,277.7,173.5,233.9,252.4,419.3,512.6,571.8,617.6,673.7,748.1,868.7,1099.8,1536.7,10600.7,54913.8,55000,1684250255638,1684250260927
read,479.4,286.5,173.5,236.1,256.3,435.0,529.3,587.0,631.7,686.1,756.2,865.0,1099.4,1689.4,10257.6,59932.9,60000,1684250262430,1684250267735
read,469.0,307.6,173.5,236.7,257.1,427.0,511.5,564.0,604.9,655.9,726.5,840.3,1086.2,1863.3,11526.0,64977.3,65000,1684250269242,1684250274526
read,444.6,225.9,173.5,232.4,251.8,404.7,482.6,531.0,569.1,618.4,686.2,800.7,1031.2,1609.3,6539.2,69886.4,70000,1684250276030,1684250281322
read,455.2,246.1,173.5,239.3,260.2,419.0,496.4,543.1,581.2,628.8,693.2,796.2,997.3,1405.0,9436.7,74968.8,75000,1684250282827,1684250288111
read,468.7,289.0,160.7,243.7,267.7,430.4,506.2,553.4,591.4,640.2,711.2,817.6,1022.1,1552.4,12412.7,79878.0,80000,1684250289616,1684250294910
read,723.0,358.3,173.5,385.4,438.1,631.9,824.3,926.4,985.5,1044.4,1105.2,1184.4,1350.4,2454.5,13043.2,83780.4,85000,1684250296414,1684250301693
read,777.7,414.8,187.4,443.1,485.6,672.4,890.3,998.5,1056.8,1113.7,1173.3,1252.7,1385.2,3012.6,16676.1,83634.8,90000,1684250303197,1684250308481
read,714.5,359.8,187.4,404.5,441.6,624.5,825.5,911.1,962.2,1013.8,1072.1,1149.7,1283.9,3296.2,13365.6,89808.5,95000,1684250309985,1684250315274
read,769.5,384.3,173.5,457.5,494.2,645.8,877.1,1005.8,1064.2,1119.0,1172.6,1247.6,1380.8,2746,14915.8,84941.6,100000,1684250316778,1684250322066
read,786.0,417.1,187.4,473.7,509.7,655.5,883.0,1032.7,1093.3,1146.6,1202.4,1272.5,1425.1,3708,17659.3,83510.4,105000,1684250323569,1684250328847
read,785.2,403.4,173.5,470.1,504.8,655.9,896.5,1034.3,1092.0,1144.5,1199.0,1270.6,1432.4,2897.3,15240.0,83386.0,110000,1684250330351,1684250335651
read,779.4,371.3,187.4,471.0,503.0,648.5,895.5,1031.3,1085.5,1137.9,1190.0,1264.4,1417.4,2530.4,14284.8,83983.0,115000,1684250337154,1684250342454
read,776.6,463.3,173.5,472.4,505.1,640.2,860.2,1025.2,1082.8,1135.8,1186.7,1259.9,1392.1,3786.8,20725.1,84643.0,120000,1684250343958,1684250349253
read,821.6,457.8,187.4,505.3,537.4,678.8,896.6,1095.1,1150.8,1204.3,1257.2,1334.9,1487.5,3872.4,19946.7,79955.8,125000,1684250350756,1684250356048
