#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,514.1,318.6,173.5,277.9,330,500.7,552.3,581.9,602.4,627.4,661.7,719.9,873.8,5639.8,12441.7,4973.4,5000,1684416195138,1684416200493
read,548.1,425,173.5,249.6,280.2,531.8,605.4,645.5,675.4,710.2,754.5,835.1,1144.2,5289.2,15974.1,9965.8,10000,1684416201998,1684416207317
read,539,337.6,160.7,239.2,264.6,519.6,618.4,671.5,709.3,751.8,806.1,891.2,1090.4,4015.9,11907.6,14930.6,15000,1684416208821,1684416214121
read,539.8,347,160.7,234.1,258.8,511.9,624,683.4,725.3,773.1,832.6,924.5,1143.1,3990.1,12599.8,19963.2,20000,1684416215625,1684416220927
read,544,371.5,160.7,228.1,249.7,497.6,624.7,694.3,745.2,804.1,882.5,1013.5,1309.8,3726.5,13192.3,24929.6,25000,1684416222430,1684416227740
read,546.3,432.6,160.7,229.5,251.2,486.8,621.1,694.9,748.5,813.4,900.7,1040.7,1353.3,3646.6,16764,29930.2,30000,1684416229244,1684416234550
read,539.8,442.5,160.7,222.4,239.9,441.8,588.3,671,736.3,826.2,964.4,1200.3,1597.4,3923.6,15940.7,35109.6,35000,1684416236055,1684416241366
read,511.4,344.6,160.7,223.2,242.2,434.9,573.2,657.1,718.1,787,870.1,1014,1351.7,2280.7,11278.7,40144.4,40000,1684416242871,1684416248160
read,496.8,360.7,160.7,219.6,235.5,399.5,542.4,626.5,690.1,768.8,872.3,1058.4,1501.1,2141,12611.5,44998.6,45000,1684416249664,1684416254945
read,485.6,346.8,160.7,217.5,232.9,385.3,521.9,607.8,673.9,753.7,861.9,1050.4,1483,2396.3,12218,49882.4,50000,1684416256449,1684416261730
read,465.7,333.4,160.7,217.7,232.8,370.1,485.6,569.3,635.6,716.7,819.2,989,1416.8,2710.3,11014.2,54864,55000,1684416263235,1684416268516
read,471.1,335.3,160.7,217.7,233.1,370,486,570.7,638.7,725.8,840.2,1032.7,1477.9,2474.8,11223.5,59965,60000,1684416270020,1684416275304
read,457.7,352.6,160.7,218.6,234.1,370.6,474.1,546.1,607.4,683.5,786,959,1392.9,2527.1,12674.7,65071.6,65000,1684416276808,1684416282084
read,451.4,315.4,160.7,216.4,231.8,365.1,461.7,530.7,592.6,677.4,786.4,971,1409.6,2338.5,10402.1,70182.4,70000,1684416283588,1684416288859
read,444.4,317.4,160.7,217,232.2,361,449.6,513.3,574,659.8,774,960.3,1358,2579.2,8643.8,74699,75000,1684416290363,1684416295662
read,469.2,364.7,160.7,219.8,236.5,375.3,471.7,539.8,603.3,691.2,813.5,1038.9,1560.4,3842.4,11219.7,80016.6,80000,1684416297165,1684416302443
read,459.2,311.9,160.7,220.5,236.7,373,465.2,530.8,591.4,679.1,801.2,1010.3,1436.8,2335.3,8614.3,84863.8,85000,1684416303947,1684416309229
read,497.3,418.5,160.7,224.2,241.9,374,477.1,557.4,637.9,751,925.3,1181.8,1880.9,3659.8,13090.3,89973.6,90000,1684416310733,1684416316017
read,603.7,573.9,160.7,236.2,256.2,376.4,574.9,739.9,893,1050.4,1209.8,1603.5,2451.1,4485.6,18102.3,94226.6,95000,1684416317522,1684416322804
read,700.2,798,160.7,260.3,280.3,371.6,595.7,962.1,1226.6,1444.7,1579.6,1746.1,2690,8383.9,30197.5,93739.7,100000,1684416324308,1684416329590
read,723.8,933.9,160.7,265.9,286.7,380.3,610.4,952,1218,1447.3,1595.1,1779.5,2877.8,9950.2,32326.4,91329.2,105000,1684416331095,1684416336406
read,697.4,771.8,173.5,261.6,281.2,373.3,628.2,947.4,1169.3,1416,1566.5,1741,2728.3,7733.3,30554.2,94147,110000,1684416337910,1684416343195
read,704.9,877.7,160.7,263,281.9,368.4,562.6,945.1,1220.4,1442.5,1580.5,1752.4,2749.2,9739.7,31327.2,93608,115000,1684416344700,1684416349974
read,707,794.6,160.7,264,284,372.9,600.9,965.8,1248.4,1456.1,1597,1755.4,2731.1,8626.2,30514.4,93080.2,120000,1684416351477,1684416356758
read,702.8,889.4,160.7,264.3,283.3,368.2,584,964,1224.7,1446.6,1584.3,1746.1,2710.7,10305.7,31192.8,93687.6,125000,1684416358262,1684416363544
