#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,381.1,401.9,160.7,246.7,276,356.9,385.7,402.3,416.6,432.2,456,496.1,641.2,5384.3,21307.9,5009.4,5000,1684363849343,1684363854695
read,394.3,328.4,160.7,226,248.8,382.4,423.8,445.5,460.8,478.1,500.9,536.9,634.7,5547.6,12344.6,9970.2,10000,1684363856198,1684363861548
read,386.2,277.2,160.7,218.3,237,377.6,432.3,458.1,474.7,494.3,516.9,549.9,632.6,2959.8,12552.5,15037.8,15000,1684363863051,1684363868363
read,378.3,268.5,160.7,211.6,227.7,362.6,428.7,458.2,476.9,497.3,522.5,560,641.6,3485.2,11071.9,20025.4,20000,1684363869867,1684363875156
read,369.2,209.7,160.7,208,223,345.8,419.6,454.3,475.7,498,524.6,561.3,641.2,2845.1,8468.1,24926.6,25000,1684363876659,1684363881952
read,366.3,199,160.7,205.9,219.9,338.6,416.9,458,483.1,508.1,537.7,577.9,650.2,1285.8,8142.5,29938.2,30000,1684363883456,1684363888752
read,358.5,255.7,160.7,204.8,217.4,324.2,399.4,445.1,472.4,499.9,531.2,573.7,652.2,1688.1,12011.8,35008.8,35000,1684363890256,1684363895553
read,357.2,204.7,160.7,204.2,217.1,325.7,396.5,441.6,471.9,502.5,535.8,579.9,662.9,1155.4,9483.2,40171.2,40000,1684363897060,1684363902352
read,354.5,183.7,160.7,204.2,217.1,322.8,390.7,433.7,464.6,497.2,532.6,577.9,667.3,1376.1,7106.6,45078.6,45000,1684363903856,1684363909149
read,348.4,205.7,160.7,202.9,214.5,314.1,379.6,422,453.2,487.3,524.8,571.8,662.6,2722.4,8144.3,49921.2,50000,1684363910653,1684363915955
read,340.2,173.1,160.7,203.4,214.5,307.9,369.4,409.2,441.1,476,513.5,559.9,640.2,1099.9,6435.7,54851.4,55000,1684363917458,1684363922758
read,336.4,178.8,160.7,202,213.5,305.4,364.5,402.3,432.1,466.2,504.5,553.6,641.1,1156,7250,60102.2,60000,1684363924261,1684363929557
read,329.2,171.5,148.8,198.9,210.3,294.5,352.3,391.7,422.9,459.3,500,549.8,638.8,1136,7472.2,65146.6,65000,1684363931060,1684363936348
read,317.9,171.3,148.8,196.6,207.5,283.3,336.2,372.6,402.5,440.9,485.5,538.3,626.9,1034.2,5985.5,69912,70000,1684363937851,1684363943133
read,313.3,163.5,148.8,197.1,207.8,279.6,328.3,362.1,390.6,428.6,474,529.2,615.9,1190.8,5944.1,75040.2,75000,1684363944637,1684363949922
read,307,182.9,148.8,194.8,205.6,273,318.6,349.8,376.3,412,458.1,513.8,603.5,1482.4,7787.5,80000.6,80000,1684363951425,1684363956715
read,303.1,168,148.8,194.9,205.7,273.2,318.4,347.6,372,404.2,448.4,503.8,589.7,827.8,4357.7,84919.8,85000,1684363958220,1684363963514
read,296.2,184.9,148.8,194.4,204.8,265.7,305.4,332.6,355.6,387.7,432.9,491.9,583.4,1125.3,9498.4,89859.6,90000,1684363965018,1684363970307
read,292.4,168.8,148.8,194,204.3,263.8,301.9,328,349,378.4,421.8,481.7,574.1,1242.1,6691.2,94877.2,95000,1684363971810,1684363977098
read,293.2,151.8,148.8,194.7,205.1,265.9,305.7,332.4,353.7,381.3,420,475,573.1,1021.8,4748.2,100027.4,100000,1684363978601,1684363983900
read,289.5,150.3,148.8,194.3,204.8,265.3,302,325.3,344.1,369.5,405.1,461.7,557.9,912.7,6130.6,105192.6,105000,1684363985404,1684363990684
read,289.1,147,148.8,195.3,205.6,265.8,302.8,326.4,344.4,368.2,400.8,454,552.2,916.7,6249.8,110182.2,110000,1684363992188,1684363997474
read,298.5,127.6,148.8,198,209.4,277.7,315.6,339,357.4,380.3,412.4,462.8,565.4,892.5,4822.2,114921.2,115000,1684363998978,1684364004263
read,290.4,140.3,148.8,197.5,208.2,270.4,305.2,326.6,343.4,365.7,395.8,445,541,824.7,5797.5,120020.7,120000,1684364005766,1684364011053
read,298.3,156.6,148.8,202.3,213.1,279.8,315,336.7,353.1,373.3,401.5,447.2,541.1,847.5,6874,124830.6,125000,1684364012557,1684364017845
