#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,361.6,364.1,160.7,236.6,263.9,338.5,365.8,381.5,393.7,406.8,428.1,461,587.9,5755.6,13198.1,4907.2,5000,1684362835909,1684362841260
read,378.3,313.4,160.7,215.6,235,368.5,416.5,439.3,455.2,471.1,494.3,526.3,593.4,4026.7,13540.2,9957.2,10000,1684362842766,1684362848100
read,382.9,295.2,160.7,208.5,225,367.5,435,465.2,484.9,504.9,531.1,567.6,639.1,3682,13034.4,14852,15000,1684362849605,1684362854906
read,387,218.1,160.7,204.8,220.5,364.6,446.4,486.3,510.7,536.7,566.6,606.4,684.8,2395.1,8487.9,19857.4,20000,1684362856410,1684362861709
read,384.4,319.3,160.7,203.7,217.3,353.3,432.6,478.7,508.7,540.1,574.3,618.7,692.2,1911.6,12765.4,24829.6,25000,1684362863211,1684362868519
read,399.3,231,148.8,204.3,219.5,376.2,452.3,497.8,529.3,563.1,601,651.1,771,1472.8,9876.5,29966.2,30000,1684362870023,1684362875321
read,396.1,205.4,148.8,202.6,216.3,370.2,449.2,497,531.6,568.7,609.5,663.8,776.2,1206.1,7460,34820,35000,1684362876825,1684362882105
read,399.6,209.3,160.7,202.9,216.4,369,449.4,498.9,535.4,575.9,621.5,685.6,869.6,1571.7,8052.6,40009.5,40000,1684362883608,1684362888888
read,401.4,232.6,160.7,203.1,215.9,366.5,452.7,505.1,543.9,586.1,632.3,698.3,864.9,1431.6,9132.2,45082.3,45000,1684362890391,1684362895693
read,403.5,231.3,160.7,204.1,217.4,362.2,451.1,504.6,544,589.2,640.7,723.3,942.4,1423.3,9287.8,49851.2,50000,1684362897196,1684362902495
read,391.2,245.9,160.7,200.5,213,347.1,431.6,483.5,524,571.7,627.1,705.8,923.6,1510.2,8968.7,54955.2,55000,1684362903998,1684362909289
read,387.1,246.4,148.8,197.4,210.2,334.1,417.2,468.3,509.8,562.2,626.1,728.4,1072.1,1612.2,8884.7,59852,60000,1684362910793,1684362916087
read,380.5,217.5,160.7,198.3,211,333,412.4,464.6,505.7,555,614.3,700.3,959.2,1363.1,7832.5,65225.7,65000,1684362917590,1684362922889
read,373.8,221,148.8,194.7,206.6,315.5,393.6,447.2,491.2,544.8,617.1,736.1,1081.8,1483.7,5981,70082.1,70000,1684362924391,1684362929677
read,382.1,255.1,148.8,197.1,209.5,320.1,398.3,452.1,496.1,551.6,624.8,750.5,1113.9,2063.6,9580.6,75017.2,75000,1684362931180,1684362936469
read,374.2,236.8,148.8,197.5,209.6,316.8,390.5,441,483.8,538.2,609.2,726.6,1084.3,1656.8,8119.3,80132,80000,1684362937974,1684362943264
read,377.2,232.9,148.8,198.7,211.6,321.4,393.2,440.6,482.3,535.1,604.8,732.8,1099.6,1734.5,6588.9,85034.2,85000,1684362944767,1684362950054
read,365.5,241.9,148.8,198.7,210.9,314,378.6,421.1,458.3,511,584.6,698.3,1031.2,1540.7,9261.4,89942.2,90000,1684362951557,1684362956842
read,373.1,248.8,148.8,199.4,211.8,314.4,380.6,425.2,464.2,518.4,592.4,732.6,1177.4,1899.6,8336.5,95151,95000,1684362958346,1684362963653
read,376,246.6,148.8,200,212,313.4,377.3,421.9,463.9,524.3,606.6,776.2,1205.4,2005.8,8431.7,99911.6,100000,1684362965158,1684362970460
read,408.4,290.2,148.8,205.5,219.6,325.8,397.4,451.7,504.1,576.6,690.1,941.3,1441,2367.5,7792.9,104892.6,105000,1684362971964,1684362977257
read,565.8,659.5,160.7,212.6,226.9,338.4,521.7,684,850.8,1010,1148.2,1487.9,2373.6,6915.1,23007.2,104061.6,110000,1684362978760,1684362984050
read,596.4,843.9,148.8,237.5,250.7,300.8,340.9,593.8,976.9,1328.7,1474.9,1630.9,2658,9434.4,30903.3,110007.8,115000,1684362985553,1684362990848
read,597.9,833.6,160.7,237,249.4,306.7,353.3,643.3,960.7,1280,1455.2,1628.6,2661.6,10132.2,31024.4,109948.4,120000,1684362992353,1684362997650
read,619.7,809.1,160.7,245.4,260.6,317.2,379.9,728.4,1052.4,1348.6,1490.5,1653.4,2591.8,9134.3,30759.1,106195.4,125000,1684362999153,1684363004442
