#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,477.1,436.0,187.4,276.5,318.2,449.6,493.1,517.0,535.4,556.1,586.9,639.7,860.8,5862.9,15658,5016.0,5000,1684249698528,1684249704059
read,509.2,396.2,187.4,258.1,284.9,490.7,553.5,591.2,620.6,654.3,698,769.6,936.2,5011.8,15676.6,9970.2,10000,1684249705565,1684249710892
read,520.4,345.2,173.5,251.2,277.7,495.2,584.3,634.1,669.4,710.2,763.5,842.3,996.8,4073.1,12837.4,14983.4,15000,1684249712397,1684249717756
read,531.6,427.2,173.5,250.8,276.1,491.1,588.3,647.8,689.2,740.0,804.4,894.8,1128.3,4460,19605.3,19865.4,20000,1684249719259,1684249724577
read,540.6,467.3,173.5,248.4,273.9,493.3,591.8,654.3,703.4,762.0,833.1,933.4,1196.9,4956.8,20279.2,25141.4,25000,1684249726082,1684249731399
read,520.5,333.3,173.5,244.5,268.0,475.4,573.5,636.1,685.1,746.2,823.4,928.2,1168.4,3716.7,12812.5,29943.6,30000,1684249732903,1684249738207
read,525.7,364.9,173.5,244.1,266.9,478.0,581.7,644.3,691.7,750.7,833.3,947.1,1204.3,3402.1,15166.4,34822.8,35000,1684249739711,1684249745009
read,523.0,360.6,173.5,242.4,264.4,470.4,579.7,645.0,695.8,758.4,841.8,959.0,1233.6,2968.6,14327.9,39963.0,40000,1684249746513,1684249751827
read,492.0,323.6,173.5,235.4,255.6,446.2,546.4,607.5,651.9,707.7,783.9,899.0,1129.8,2632.3,12835.9,44838.4,45000,1684249753333,1684249758640
read,496.7,326.9,160.7,237.6,257.8,448.9,551.8,614.2,658.6,714.0,791.3,910.4,1154.1,1945.6,12604.8,49851.2,50000,1684249760144,1684249765428
read,477.2,310.5,160.7,234.7,254.1,424.8,522,582.4,628.7,685.5,763,883.3,1153.7,1721.6,12162.7,55021.0,55000,1684249766932,1684249772228
read,477.3,302.9,160.7,234.5,254.4,422.9,519.4,582.0,629.1,685.5,762.6,885.2,1169.7,1870.4,10944.2,59888.4,60000,1684249773732,1684249779018
read,487.9,336.3,173.5,239.5,261.8,437.0,530.7,590.1,636.1,690.9,767.6,882.1,1168.9,2528.9,12643.9,64821.6,65000,1684249780522,1684249785835
read,459.2,246.6,173.5,237.6,257.7,413.1,495.4,549.0,594.3,651.3,724.5,835.6,1073.1,1472.0,8412.5,70122.4,70000,1684249787338,1684249792623
read,489.2,277.4,173.5,249.5,275.7,452.2,534.9,585.0,624.6,673.8,739.5,844.4,1074.4,1730.7,10088.9,74895.1,75000,1684249794127,1684249799415
read,480.0,285.6,173.5,250.3,276.0,438.2,518.3,569.4,609.9,661.4,731,835.0,1053.0,1607.6,12210.6,79793.8,80000,1684249800918,1684249806211
read,726.7,427.8,187.4,398.6,440.8,639.2,822.9,914.1,969.2,1025.2,1088.7,1176.3,1355.1,4081.7,17366.4,84419.6,85000,1684249807716,1684249813007
read,795.9,399.4,187.4,467.0,508.9,670.5,902.6,1038.3,1099.4,1153.4,1212.8,1282.7,1478.7,3417.7,15163.5,81673.0,90000,1684249814512,1684249819805
read,792.6,464.9,187.4,474.7,510.7,658.3,890.6,1039.5,1100.9,1153.2,1210.2,1277.3,1464.5,3824.8,19182.3,82763.6,95000,1684249821311,1684249826595
read,805.5,439.1,202.4,490.9,524.4,663.6,897.5,1072.1,1130.2,1180.0,1234.7,1299.3,1452.9,4067.8,16632.6,81545.6,100000,1684249828100,1684249833392
read,773.4,404.0,173.5,472.2,503.7,637.1,869.6,1028.6,1083.4,1133.2,1180.8,1252.6,1380.6,4240,15005.2,84853.8,105000,1684249834896,1684249840174
read,763.3,410.2,173.5,458.9,493.0,632.2,845.5,1005.8,1064.3,1117.8,1169.5,1244.4,1383.6,4057.7,14904.3,86015.8,110000,1684249841679,1684249846964
read,766.2,401.3,173.5,459.8,493.6,634.1,885.9,1014.3,1064.6,1114.3,1165.7,1238.6,1371.8,3822.9,14858.2,85482.4,115000,1684249848468,1684249853754
read,732.4,393.2,187.4,425.8,461.5,617.5,851.4,953.8,1004.8,1054.1,1103.7,1173.5,1330.0,3256.7,17063.3,89469.2,120000,1684249855258,1684249860541
read,770.4,433.9,202.4,457.4,492.4,639.6,880.5,1007.2,1062.8,1115.6,1168.6,1246.8,1405.3,3562.8,18513.9,85277.2,125000,1684249862044,1684249867329
