Random waveform, supplied seed
Total number of intervals = 216 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235)
Average QPS expected = 50513
Timestamp start: 1684945195432
Timestamp end: 1684946275876

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      429.3   996.6   187.4   236.1   255.4   346.2   382.0   401.2   418.2   437.3   468.8   534.4  1896.7 15736.3 32420.5   7377.2     7434
read      348.4   479.8   160.7   208.7   220.3   294.0   339.4   370.0   396.8   433.1   481.4   544.2   985.3  5897.1 20166.5  67110.6    67201
read      332.5   328.9   160.7   208.4   220.1   294.5   339.1   366.4   388.3   416.8   457.6   521.1   709.8  3889.0 12457.2  85887.6    85927
read      342.5   400.4   160.7   208.4   220.2   294.6   341.2   372.4   400.5   438.5   486.8   544.4   759.7  5053.7 13990.4  63777.8    63953
read      362.8   396.6   160.7   210.7   222.4   306.0   383.2   425.8   453.0   480.8   510.7   556.1   874.4  5344.1 15200.2  31551.2    31595
read      333.7   363.0   160.7   207.5   219.1   292.0   335.3   361.5   381.7   407.6   448.6   510.5   769.5  4733.9 14168.4  87746.2    87879
read      436.0  1015.7   160.7   231.0   249.9   344.8   382.9   403.5   421.9   442.6   470.7   537.1  2660.3 15237.0 36651.6   7314.4     7287
read      358.0   386.4   160.7   208.9   220.8   298.8   349.2   385.6   416.8   458.2   507.7   584.1  1365.6  4073.6 17313.6  62299.4    62295
read      473.5  1313.4   173.5   233.2   254.2   339.6   373.5   394.7   410.0   430.6   461.2   523.9  3831.9 26477.2 32483.2   6545.0     6561
read      520.3  1343.8   160.7   214.9   228.7   377.0   462.8   519.1   566.0   624.1   688.3   813.7  4195.5 14109.9 32401.7  22645.4    22532
read      358.6   509.5   160.7   208.1   219.8   295.8   345.0   381.3   412.9   452.7   499.9   564.8  1200.1  5516.8 23402.5  60569.0    60653
read      347.5   334.9   160.7   209.6   221.5   300.0   352.0   388.3   418.5   456.9   502.4   560.8   742.3  4123.8 11999.6  58982.6    59076
read      335.3   299.9   160.7   207.2   218.7   291.1   337.5   371.3   401.5   441.2   487.7   544.0   797.9  3379.7  9021.7  60126.8    60154
