Random waveform, supplied seed
Total number of intervals = 360 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886)
Average QPS expected = 50334
Timestamp start: 1684882601592
Timestamp end: 1684884402146

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      429.3   402.2   160.7   222.3   236.2   359.8   469.5   525.5   560.8   597.7   640.9   718.3  1199.1  4552.3 13712.0  34261.4    34406
read      453.4   559.3   173.5   225.3   240.1   386.4   492.9   540.3   571.7   607.1   652.9   733.9  1370.0  7956.4 19469.4  28704.2    28664
read      423.2   446.1   173.5   221.8   235.3   354.6   457.9   515.3   551.2   589.1   633.1   704.1  1102.4  4555.4 16086.8  38390.2    38289
read      452.4   592.9   173.5   225.3   240.0   396.8   487.0   524.4   547.6   575.8   611.7   682.2  1732.0  8234.5 30374.6  20707.0    20658
read      425.6   295.3   173.5   230.1   245.9   411.3   472.2   501.5   521.5   543.0   573.2   621.8   942.8  4476.8  8576.1  13812.8    13840
read      375.7   412.3   160.7   222.7   236.4   328.9   384.5   417.8   443.5   475.0   518.0   584.9   821.0  5610.7 12578.2  93292.0    93419
read      363.0   354.2   160.7   221.4   234.1   320.8   372.8   403.9   428.9   459.4   500.4   567.5   805.7  4877.0 10901.9  98089.2    98284
read      378.8   456.6   160.7   220.0   232.0   322.6   387.7   428.2   460.1   500.1   549.5   621.5   856.7  5459.9 27000.8  71421.8    71313
read      393.2   404.2   173.5   217.6   228.9   325.7   414.0   470.6   508.8   546.1   586.8   641.8   981.4  4987.4 12788.8  42105.6    42089
read      412.2   444.7   173.5   220.4   233.0   337.4   424.5   482.1   522.6   564.8   613.4   681.1  1256.0  5938.3 12825.5  46377.8    46458
read      408.9   431.1   173.5   219.5   231.3   342.7   454.2   506.0   536.2   567.4   602.3   658.6  1008.6  3832.5 17783.2  30797.2    30755
read      401.0   379.3   173.5   219.6   231.5   334.3   425.2   485.0   524.7   564.2   607.1   670.6  1052.9  4004.7 10117.0  42864.6    42889
read      360.6   340.0   160.7   220.7   233.0   318.6   370.0   401.5   426.8   458.3   501.3   570.2   796.8  4993.7 10721.0  93448.6    93552
read      378.8   423.4   173.5   219.4   231.0   317.8   382.2   426.5   461.8   504.1   554.8   621.8   883.3  5186.7 14442.7  65615.0    65694
read      410.0   335.6   173.5   221.0   233.9   352.9   463.2   512.7   541.1   571.6   606.8   662.6   927.7  3553.7 12976.4  29648.0    29574
read      403.2   497.6   173.5   221.2   234.0   333.8   414.2   466.7   507.0   550.8   599.5   667.3  1040.0  5480.0 24401.6  51482.0    51355
read      382.7   387.5   173.5   220.5   232.7   322.8   390.3   433.0   467.3   509.2   562.6   633.1  1035.4  4989.7 11160.3  67213.4    67361
read      451.2   528.9   173.5   230.6   246.4   424.3   495.8   528.0   548.6   576.0   610.1   670.5  1320.9  5419.8 29253.7  16316.6    16287
read      368.0   331.7   160.7   220.6   232.8   319.7   376.9   413.8   442.1   477.7   525.7   594.8   848.2  4676.9  9968.1  81501.8    81508
read      375.6   525.2   160.7   221.9   235.0   324.8   381.3   415.8   442.0   474.2   518.7   586.0   778.3  6252.7 28571.5  87686.8    87619
read      373.1   419.9   160.7   222.2   236.0   327.5   380.7   412.8   436.9   468.1   509.3   577.6   826.1  5600.3 13706.2  99163.4    99068
