Random waveform, supplied seed
Total number of intervals = 360 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886)
Average QPS expected = 50334
Timestamp start: 1684892836597
Timestamp end: 1684894637082

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      464.4   550.0   187.4   261.8   287.0   426.0   479.0   506.0   526.1   547.1   580.9   637.0  1360.6  4746.2 31678.0   7405.0     7434
read      375.1   421.1   160.7   216.4   227.9   314.5   378.8   422.8   458.7   504.2   559.9   631.6   857.4  5563.5 15450.0  66971.6    67201
read      359.1   395.6   160.7   216.4   227.9   310.5   362.9   396.2   422.9   457.4   504.6   579.9   840.2  4959.1 12210.9  86000.0    85927
read      376.4   500.6   160.7   216.9   228.3   316.2   382.6   427.0   465.5   514.4   571.5   640.4   922.4  4046.0 11293.9  64006.8    63953
read      422.9   447.1   173.5   219.9   232.4   350.1   464.9   522.1   555.7   590.5   632.7   693.0  1187.9  4538.1 17855.4  31596.6    31595
read      361.5   521.2   160.7   217.0   228.3   310.9   363.0   395.3   421.4   455.2   502.2   577.7   877.1  5285.3 15887.1  87814.8    87879
read      586.5  1459.5   173.5   251.4   277.1   428.2   488.5   519.7   541.2   569.4   608.9   705.3  4988.1 30189.5 39974.9   7282.6     7287
read      450.7   560.4   160.7   220.7   234.4   342.7   425.6   486.4   535.4   596.6   686.9   964.5  1811.4  6803.7 24807.9  62114.2    62295
read      527.7  1277.3   187.4   257.6   281.9   420.0   472.8   501.4   522.3   545.6   580.0   641.5  3091.5 30373.8 37541.7   6527.4     6561
read      449.1   517.7   173.5   224.0   238.8   392.3   497.4   538.7   565.5   594.0   632.7   700.9  1388.4  7128.0 19592.8  22379.0    22532
read      434.4   672.8   160.7   221.1   234.5   337.2   413.5   465.5   508.4   559.5   623.8   736.1  1933.7  8361.6 31599.7  60861.0    60653
read      384.5   421.7   160.7   215.6   227.4   318.4   391.2   440.6   483.3   532.3   587.5   658.2   933.2  5376.8 14785.7  59017.0    59076
read      388.3   540.6   160.7   214.8   226.7   317.4   389.3   437.2   479.5   528.4   581.7   651.8   982.6  5934.7 30112.7  60018.8    60154
read      435.9   362.5   160.7   222.9   237.9   387.8   497.3   540.0   566.9   594.4   629.1   683.2  1090.5  4560.3 10501.0  22976.2    22964
read      524.9  1088.4   173.5   244.6   267.8   424.5   483.0   512.4   533.1   556.0   590.7   663.3  3330.5 13803.7 36508.1   8131.8     8172
read      441.5   446.9   160.7   221.5   235.4   373.2   490.0   539.7   571.0   604.5   642.8   706.4  1241.6  5866.1 10975.2  27586.6    27652
read      418.9   418.2   160.7   219.6   232.1   348.9   454.9   521.2   561.0   599.8   642.0   704.9   967.4  5549.3 14728.2  37621.6    37594
read      433.7   722.5   173.5   221.5   235.5   378.1   492.8   537.4   564.7   592.0   628.5   685.5  1060.8  4454.6 11002.8  24404.8    24367
read      427.5   445.8   160.7   220.0   232.8   351.7   465.5   527.7   563.9   600.2   641.1   702.9  1152.6  5186.9 12022.5  33867.4    33771
read      377.4   409.8   160.7   220.2   232.7   326.1   385.8   422.1   450.6   486.2   534.2   611.7   975.4  5035.9 12636.6  84918.6    84944
read      372.0   425.2   160.7   217.8   229.3   317.2   374.4   411.2   440.1   477.6   527.3   607.2   975.5  5208.9 13647.8  85664.6    85666
