#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,266.4,214.6,160.7,192.4,200.9,244.7,270.4,287.7,300.8,317.7,342.1,379.2,452.5,2502.8,10249.7,30026.3,30000,1683867747824,1683867757963
read,280.9,260.5,148.8,193.9,203.9,254.8,284.7,303.2,317.7,336.8,362,399.7,509,3456.8,9068.3,30023.1,30005,1683867759474,1683867769602
read,282.3,234.4,148.8,194.1,203.8,252.8,282.7,301.9,317.3,337.9,364.8,402.2,624.5,3447.5,8589.1,30035,30010,1683867771112,1683867781225
read,294.8,324.3,137.8,196.3,205.8,256.7,286.8,306,320.3,340.7,368.8,414.7,792.6,4964.3,12246,29901.1,30015,1683867782735,1683867792839
read,282.5,285.1,160.7,193.4,202.8,251.6,280.2,297.6,312.7,331,356.5,394.5,557.7,3822.1,11763.7,30073.3,30020,1683867794346,1683867804450
read,283.2,288.9,160.7,196,205,252.5,280.8,298,312.7,330.5,355.1,393.2,576,3586.4,11947.6,30038.9,30025,1683867805959,1683867816063
read,279.7,275.5,160.7,194.7,203.9,252.4,281.3,299,313.7,332.1,358.2,397.5,502.2,2934.5,12071.7,29998.6,30030,1683867817574,1683867827681
read,293.1,382.4,148.8,196.5,205.6,252.3,280.1,297.4,312.3,330.3,355.5,395.7,898.8,6022.4,14339.1,30058.2,30035,1683867829188,1683867839292
read,277.8,254.3,148.8,193.2,202.9,249.7,277.5,295.1,309.5,326.7,351.7,391.1,546,3834.1,9341.8,30020.3,30040,1683867840799,1683867850910
read,276.9,270.1,148.8,192,201.1,246,272.8,291.7,306.6,324.8,350.4,390.6,509.8,4324,8719,30048.4,30045,1683867852420,1683867862522
read,281,318.8,160.7,195.3,204.6,249.9,276.3,294.7,309.8,328.6,355.5,395.7,488.5,4468,15315.3,30054.7,30050,1683867864034,1683867874141
read,281.9,318,148.8,193.2,202.9,249.6,277.4,295.7,311,329.3,354.3,394.5,498.3,4922.8,10651.9,30082.1,30055,1683867875653,1683867885773
read,280.3,310.2,148.8,193.1,202.6,250.8,279.5,297.1,311.8,329,352.8,393.1,474.8,4358.2,12332.4,30049.1,30060,1683867887282,1683867897383
read,271.9,250,148.8,192.2,201.2,244.3,270.4,288,301.3,318,342.2,381.1,468.6,4246.7,9363.2,30111.5,30065,1683867898891,1683867909001
read,272.6,268.6,160.7,191.6,199.8,243.5,270.7,288.7,302.4,319.5,344.8,385.5,470,4188.9,9432.8,30122.9,30070,1683867910511,1683867920620
read,268.6,203.8,160.7,193.7,202.6,247.7,274.2,292.1,306,322.4,345.8,381.2,454.4,2208.2,8788.7,30052.1,30075,1683867922131,1683867932239
read,267.3,213.9,148.8,190.8,199,246.6,273.5,290.8,303.9,319.5,343,378.6,449.7,2719,11279.8,30134.2,30080,1683867933748,1683867943859
