Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1684884564486
Timestamp end: 1684886364923

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      419.5   408.1   160.7   220.8   234.1   352.8   461.7   514.8   545.9   578.2   615.3   671.7  1039.9  5701.6 13314.6  30842.3    30755
read      407.4   519.2   160.7   219.3   231.2   336.5   424.8   483.9   524.2   564.4   607.2   667.3  1046.3  5364.5 30290.6  42813.2    42889
read      374.1   459.2   160.7   220.4   233.2   324.1   379.0   412.0   436.9   469.0   512.1   582.6   895.1  6024.9 22804.5  93488.8    93552
read      380.9   428.8   160.7   219.3   231.0   320.6   386.8   430.1   465.2   508.6   560.4   631.5   996.1  5233.8 17274.9  65737.7    65694
read      415.2   385.0   160.7   220.1   232.7   351.5   463.4   514.3   543.7   575.0   611.3   667.3  1033.5  4930.4 13575.9  29500.7    29574
read      400.7   418.5   160.7   219.7   232.1   332.3   411.0   464.6   505.2   549.0   598.4   673.3  1202.8  4603.7 13941.2  51343.5    51355
read      401.3   449.9   160.7   222.6   236.4   335.7   405.9   451.6   486.8   529.5   582.7   664.9  1203.5  5776.9 15386.2  67535.6    67361
read      447.4   871.8   173.5   229.8   246.1   417.2   492.0   525.0   545.9   571.9   602.7   658.3  1110.6  6198.5 25242.9  16301.1    16287
read      382.8   430.6   160.7   221.9   235.6   330.8   391.4   428.4   457.5   493.2   539.8   613.4   921.6  5530.1 14461.6  81540.7    81508
read      390.7   566.4   160.7   222.7   236.9   333.5   393.0   429.0   457.4   492.6   539.1   615.5  1021.1  6315.8 28420.2  87676.0    87619
read      373.3   415.3   160.7   222.3   236.3   328.9   382.9   415.1   439.4   470.5   512.5   583.7   866.1  5384.9 13186.1  99244.3    99068
read      406.8   443.1   160.7   221.7   235.1   340.5   423.6   476.8   517.5   561.3   610.5   679.0  1094.9  5303.7 15808.2  51300.1    51267
read      523.5  1012.5   173.5   232.9   251.5   433.5   505.4   542.6   569.1   598.0   636.7   710.9  3327.8 12897.9 32291.2  11933.8    11822
read      428.5   508.8   160.7   226.5   242.3   352.8   416.0   455.1   485.7   525.4   582.1   712.2  1846.0  6354.5 20048.3  97315.9    97494
read      387.1   440.3   160.7   223.6   238.1   333.9   390.1   424.3   451.0   484.3   530.8   610.9  1152.0  6057.4 15842.5  97322.9    97350
read      406.7   507.8   160.7   223.1   237.3   339.1   415.7   464.5   502.5   546.1   595.0   665.7  1108.5  5999.2 26442.8  55395.8    55460
read      373.8   425.0   160.7   220.8   233.5   322.4   379.5   415.0   442.4   477.0   524.1   595.5   938.2  5397.5 14939.0  86161.8    85984
read      376.4   395.7   160.7   221.1   233.9   326.0   386.3   423.0   451.5   486.9   533.5   604.7   926.7  5241.1 16416.8  81959.1    82043
read      405.5   441.6   160.7   222.2   236.0   341.8   423.1   474.2   512.8   555.7   605.3   675.4  1063.6  5369.8 17989.5  52920.1    52873
read      446.6   446.6   173.5   235.4   252.3   422.7   486.6   515.7   536.1   559.0   588.3   638.1  1162.9  5545.5 16322.1  13960.1    13911
read      415.1   486.0   160.7   223.2   237.4   346.9   430.6   483.8   522.9   566.7   616.0   684.0  1087.6  5765.6 23716.4  50107.2    49984
read      578.6  1352.4   173.5   240.2   262.5   435.2   502.1   537.1   561.8   589.7   630.6   726.8  4628.6 25698.7 35939.8   9262.8     9274
read      442.6   522.1   160.7   223.8   238.5   375.7   485.8   533.2   562.7   593.0   632.1   698.0  1371.8  5938.1 30215.0  27211.8    27187
read      441.6   404.3   160.7   227.8   243.4   407.8   491.9   527.9   550.4   577.7   611.3   668.4  1345.6  5392.0 12632.6  18776.0    18735
read      386.1   495.5   160.7   222.3   236.0   332.1   392.0   427.9   455.7   490.0   536.3   611.4   952.1  6179.5 24773.4  86385.9    86505
read      379.2   412.9   160.7   222.1   235.9   331.4   389.2   423.9   450.6   483.3   527.7   597.0   889.6  5957.4 13430.2  93081.1    93039
read      394.1   509.8   160.7   222.2   236.1   335.6   401.9   442.5   472.6   510.4   559.9   633.9   974.3  6307.5 28048.2  75897.6    75999
read      427.3   453.9   173.5   223.0   237.1   361.5   462.7   514.9   547.5   582.2   623.5   686.5  1231.2  5674.6 15319.5  32366.4    32324
read      377.9   442.9   160.7   219.8   231.8   324.5   384.4   421.1   449.6   484.9   532.0   606.4   961.4  5641.4 18136.6  83991.3    84255
read      373.8   443.4   160.7   218.7   229.8   319.7   379.9   416.8   445.4   480.9   527.4   596.6   939.5  5877.4 16777.4  81713.4    81759
read      409.7   440.2   160.7   220.5   233.0   346.2   438.3   492.1   526.8   563.1   604.6   668.6  1121.3  4582.0 12885.6  37221.0    37291
read      397.1   396.4   160.7   220.2   232.5   335.5   413.9   462.6   498.7   539.0   585.6   653.3  1114.5  4841.6 12868.1  53844.7    53818
read      425.7   448.7   173.5   222.3   236.2   361.6   463.2   513.4   544.5   577.7   617.3   680.6  1182.5  5802.8 18591.5  30373.3    30297
read      425.9   431.8   160.7   222.8   237.0   363.6   463.5   514.7   545.9   579.5   619.2   681.3  1216.4  5275.8 12032.8  31537.8    31569
read      412.9   504.8   160.7   221.6   234.9   353.2   445.1   498.6   534.3   572.3   615.8   679.8  1069.7  4024.4 12701.2  38934.5    38927
read      541.6  1247.5   173.5   231.0   249.4   417.2   486.6   522.2   546.1   576.5   616.2   690.9  4219.0 19774.4 36871.2  10685.1    10652
read      396.3   426.5   173.5   222.8   237.2   338.3   395.6   431.0   459.0   494.2   542.3   630.9  1559.8  5561.1 13295.8  98026.6    98119
read      399.1   419.1   160.7   219.8   231.8   337.4   418.3   468.8   505.9   546.0   591.1   658.0  1084.8  4777.7 15754.3  48284.2    48176
read      408.2   355.8   160.7   220.5   232.9   346.6   443.5   496.3   529.6   564.2   603.0   663.8  1081.8  4474.7 11846.3  34764.1    34929
read      388.6   503.9   160.7   219.6   231.4   326.1   393.6   434.9   467.4   506.4   554.9   628.3  1094.4  6142.2 24851.6  69597.1    69735
read      426.6   477.4   173.5   222.1   235.5   381.3   468.6   505.3   529.2   554.4   587.1   641.3  1265.7  5606.3 15858.7  20731.5    20753
read      362.8   326.2   160.7   218.3   229.6   317.9   373.3   407.4   434.4   468.2   513.6   585.1   867.8  4109.0 12139.5  84606.1    84642
read      392.0   360.6   160.7   218.1   229.8   333.7   416.4   470.2   508.7   547.8   591.1   653.1   971.8  3848.0 12046.7  42444.0    42333
read      375.2   330.6   160.7   218.7   230.0   321.3   389.0   432.4   467.5   510.1   560.4   627.8   896.3  3726.9 11423.7  61484.1    61587
read      369.7   366.7   160.7   219.1   230.5   319.9   379.1   416.4   445.6   482.5   530.6   600.5   917.1  4059.4 12464.5  78152.2    77998
read      374.0   391.7   160.7   221.5   235.1   329.4   384.1   417.4   443.0   474.8   519.5   591.4   904.6  4387.6 15446.5  97654.5    97625
read      413.3   316.3   173.5   223.3   237.8   370.7   468.9   510.5   536.0   563.9   595.2   650.0   917.1  4028.6 10065.5  23727.7    23781
read      374.0   337.4   160.7   219.7   231.5   321.4   387.6   429.6   463.4   505.2   556.5   627.8   903.7  3672.0 10706.7  66898.4    66723
read      407.9   352.0   173.5   220.7   233.7   348.5   457.3   510.3   541.0   573.0   609.6   664.1   919.3  3685.7 12079.4  30994.4    31016
read      390.0   336.6   160.7   219.6   231.4   330.8   411.5   467.4   508.3   549.5   593.5   657.0   917.3  3627.6 11398.4  47391.9    47394
read      365.1   359.7   160.7   220.3   232.7   321.0   374.5   406.9   432.6   464.8   507.5   578.4   825.5  4309.5 14499.0  95158.6    95335
read      534.4  1373.1   187.4   252.7   279.0   392.5   435.9   462.5   482.4   506.4   541.0   625.1  3843.9 28365.4 38677.6   5290.2     5252
read      382.0   389.9   160.7   219.8   231.7   323.6   390.0   432.7   467.3   510.3   562.7   635.6  1046.4  4644.6 13136.0  65821.0    65908
read      415.4   314.9   173.5   225.3   240.1   396.0   468.3   499.7   521.2   544.7   576.7   627.2   897.9  3564.0 12813.9  16918.0    16889
