Random waveform, supplied seed
Total number of intervals = 102 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343)
Average QPS expected = 50954
Timestamp start: 1684938351964
Timestamp end: 1684939372366

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      375.5   382.7   160.7   215.2   227.1   321.9   404.9   446.3   472.8   501.3   534.2   583.2   854.1  4656.8 13876.0  29555.8    29574
read      363.4   348.6   160.7   214.0   226.0   311.8   370.8   412.6   445.4   483.9   528.7   586.1   900.4  4084.9 11468.0  51306.1    51355
read      356.6   365.7   160.7   213.4   225.6   311.1   363.9   397.9   426.5   463.1   509.7   576.1   826.4  3910.2 16921.1  67499.3    67361
read      477.1   970.1   160.7   216.6   229.9   368.0   441.8   487.4   521.5   562.2   612.3   690.2  3363.3 12532.7 35272.1  16220.8    16287
read      361.0   429.5   160.7   210.8   223.1   307.3   355.7   385.3   408.2   440.0   486.3   559.6  1479.0  5608.5 16508.9  81515.3    81508
read      344.6   398.8   160.7   210.1   222.4   304.3   351.7   380.0   401.5   430.4   469.4   532.6   720.6  4952.4 12594.9  87689.9    87619
read      341.5   372.6   160.7   210.4   222.9   304.7   349.9   375.8   396.4   422.1   457.2   512.9   684.7  5318.8 12433.9  99125.4    99068
read      354.5   267.7   160.7   212.6   224.9   308.4   364.4   403.2   436.4   474.7   518.2   573.0   822.8  3513.4  8725.4  51299.1    51267
read      466.0  1053.7   160.7   217.8   231.1   361.9   423.4   458.4   483.6   512.6   549.7   623.6  3493.2 15890.5 35167.7  11867.1    11822
read      353.9   395.6   160.7   209.9   222.3   307.6   355.6   382.8   402.8   430.4   467.9   535.6  1442.7  5057.0 13267.4  97472.2    97494
