Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1684927215426
Timestamp end: 1684929015912

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      483.4  1272.0   160.7   229.3   247.6   350.7   392.9   417.3   434.6   458.2   490.7   565.0  3808.6 26514.3 36986.7   7365.3     7434
read      350.9   421.5   160.7   210.0   221.8   299.7   348.5   382.0   409.2   445.1   491.8   557.4  1010.0  4475.4 20856.0  67212.4    67201
read      335.3   310.7   160.7   209.4   221.1   296.3   342.2   371.1   394.6   424.6   464.9   529.3   736.3  3987.2 11456.1  85898.9    85927
read      361.8   448.9   160.7   212.1   224.0   305.1   358.9   395.9   426.6   463.8   510.5   576.8  1078.5  5239.5 19511.6  63889.6    63953
read      371.1   362.2   160.7   211.7   223.5   312.5   395.6   438.0   463.9   492.2   526.3   581.3  1087.4  4022.3 13733.9  31581.7    31595
read      331.1   321.4   160.7   208.2   219.7   291.2   336.6   366.6   391.0   421.9   462.1   523.6   691.0  3891.2 11875.5  87886.5    87879
read      466.7  1217.1   160.7   228.8   247.1   343.7   384.8   407.4   425.4   446.4   473.3   540.3  3852.9 19779.4 37536.3   7277.5     7287
read      351.3   335.0   160.7   211.2   223.3   300.3   355.1   393.8   425.0   462.6   508.2   572.1   931.2  3693.8  9616.5  62219.1    62295
read      447.8  1091.6   173.5   230.2   250.1   340.8   378.2   399.0   415.1   433.6   462.4   523.8  3532.7 15258.4 32363.5   6535.8     6561
read      498.9  1012.8   160.7   219.1   231.5   373.3   459.6   507.6   549.4   610.1   699.1   859.6  3280.2 11824.2 36464.9  22424.7    22532
read      366.9   372.7   160.7   212.2   224.2   308.9   364.3   401.4   432.1   469.7   519.8   589.4  1242.9  5184.1 11804.6  60709.7    60653
read      342.0   297.8   160.7   209.1   220.8   296.2   348.2   386.3   417.0   453.8   496.5   552.1   738.6  3553.8 12047.9  59028.9    59076
read      344.8   344.4   160.7   208.8   220.6   296.2   347.8   385.6   415.6   452.0   496.1   555.0   799.2  4008.0 10240.2  60270.2    60154
read      450.4   794.5   160.7   211.9   225.0   353.8   431.7   478.8   518.8   567.8   623.1   709.9  2761.3  9712.8 32137.5  22889.6    22964
read      496.0  1419.1   173.5   223.3   238.9   349.4   398.9   424.7   442.4   463.7   494.5   564.4  4332.2 28126.6 45887.9   8147.9     8172
read      376.1   361.1   160.7   212.1   224.1   322.2   403.2   441.3   465.0   491.8   525.1   583.8  1024.0  4656.9 12004.9  27712.8    27652
read      357.7   323.0   160.7   210.2   222.2   304.1   375.9   422.3   452.5   483.8   518.8   569.8   815.5  4031.5 12598.0  37657.3    37594
read      453.1   826.5   160.7   212.1   225.3   356.5   434.5   483.4   525.3   574.9   628.7   709.5  2510.7 10788.2 32156.8  24337.2    24367
read      377.3   659.8   160.7   210.7   222.5   310.7   390.5   434.5   461.9   491.1   525.6   580.6  1065.5  5682.2 26996.0  33720.2    33771
read      331.0   321.9   160.7   207.7   219.2   290.4   336.4   366.7   391.3   422.4   463.0   524.5   687.5  3945.4 10634.7  84950.4    84944
read      356.1   429.8   160.7   211.1   223.0   302.4   351.8   383.5   407.9   440.3   485.5   557.1  1128.8  5394.7 13676.2  85545.1    85666
read      355.5   349.0   160.7   211.1   223.0   302.7   362.4   404.7   437.8   474.7   517.0   574.6   834.6  4369.3 10252.6  52022.1    51918
read      371.2   354.4   160.7   214.3   225.9   315.6   398.3   443.9   471.8   501.5   536.1   586.1   843.3  4282.6 13240.1  34431.0    34406
read      368.6   638.8   160.7   213.6   225.3   319.4   403.1   442.3   466.4   492.8   524.1   571.9   806.7  3549.6 12208.1  28657.1    28664
read      364.3   400.6   160.7   211.3   223.0   304.8   377.3   424.9   455.7   487.8   524.9   578.6   933.1  5139.4 15530.0  38299.0    38289
read      472.0   953.6   160.7   215.3   228.4   365.2   443.4   493.7   535.1   582.3   635.2   724.0  2964.2 11535.7 34352.3  20594.8    20658
read      416.6   495.8   173.5   221.2   235.5   368.2   446.7   490.2   520.3   551.5   587.1   636.9   981.1  5791.4 24366.8  13796.1    13840
read      351.6   386.3   148.8   211.2   223.2   303.3   352.6   384.8   409.8   442.1   485.8   555.0  1014.8  5277.1 12804.4  93561.3    93419
read      342.1   360.3   160.7   210.5   222.4   300.8   348.6   379.9   403.5   434.0   473.2   537.2   717.3  4839.2 12335.7  98467.7    98284
read      349.2   358.2   160.7   210.8   222.6   301.6   354.9   390.9   418.9   453.4   497.2   560.3   748.8  4348.4 14661.8  71201.9    71313
read      365.2   425.3   160.7   212.3   224.1   307.6   375.9   422.1   453.9   487.7   527.1   582.6   895.2  5148.7 16220.5  42164.9    42089
read      369.2   393.5   160.7   212.1   224.0   307.7   372.0   417.2   450.8   487.6   531.2   592.1  1159.0  5109.0 13548.7  46336.9    46458
read      369.5   357.8   160.7   214.0   225.5   316.3   396.5   439.3   465.7   494.1   528.0   578.3   833.8  4505.6 12313.6  30776.6    30755
read      357.3   293.2   160.7   211.7   223.5   303.8   369.3   416.1   448.7   483.3   522.7   575.3   857.2  3754.5  9444.3  42870.5    42889
read      339.3   308.9   160.7   210.4   222.4   299.9   346.2   375.2   398.6   428.1   467.1   530.1   733.7  4192.4  9982.4  93481.8    93552
read      349.0   361.8   160.7   210.6   222.5   301.5   354.2   390.1   418.9   454.6   499.8   564.4   844.9  3982.5 10175.4  65677.2    65694
read      361.4   313.9   160.7   212.4   223.9   311.3   393.1   433.8   458.9   485.2   514.3   559.6   790.6  3919.5 10228.4  29517.2    29574
read      365.6   351.1   160.7   214.9   226.7   312.4   373.8   416.3   448.8   486.2   531.2   591.4   921.3  4042.2 12307.1  51268.3    51355
read      348.7   329.8   160.7   213.1   224.9   301.4   351.6   386.9   415.2   451.3   497.4   561.5   814.8  4404.8 10054.7  67350.4    67361
read      468.0   930.2   160.7   217.2   229.9   365.0   439.9   484.0   517.2   555.7   599.9   674.6  3450.7  9291.8 35880.3  16316.2    16287
read      347.9   371.1   160.7   210.4   222.2   298.6   346.7   379.2   404.9   438.3   483.3   550.8  1075.8  4442.8 13563.1  81567.1    81508
